fbias,lbias,fin,fp,lin,lp,vcmo,mamp,cload,cin,cout,gain,gm,pole1,rout,zero,cmo,pwr,swingn,swingp
86,0.00000062,50,35,0.00000007,0.00000031,0.44,61,1.00E-012,1.29E-013,5.61E-014,35.1825,0.00779861,322600000,7363.92,161804000000,0.418271,-0.00216185,0.332785,0.290542
4,0.0000007,180,150,0.00000054,0.00000022,0.54,84,1.00E-012,8.57E-013,8.47E-014,48.3118,0.00273742,19172200,95114.5,2388160000,0.535796,-0.000645306,0.45007,0.379374
17,0.00000018,155,25,0.00000006,0.00000032,0.56,83,1.00E-012,1.45E-013,3.92E-014,17.459,0.0140138,6581720000,532.592,188780000000,0.111354,-0.00527054,0.0296272,0.446345
53,0.00000088,140,140,0.00000026,0.00000059,0.5,37,1.00E-012,7.59E-013,9.4E-014,49.917,0.00460844,22525400,67966.8,14914600000,0.488837,-0.00111983,0.403274,0.352088
22,0.00000044,30,130,0.00000042,0.00000026,0.52,4,1.00E-012,1.05E-013,6.33E-014,44.9624,0.000596259,8234590,296952,5858680000,0.515475,-0.000170682,0.429794,0.42314
3,0.0000002,10,160,0.00000022,0.00000026,0.52,24,1.00E-012,1.94E-014,6.33E-014,43.7387,0.000400638,6284800,383866,21034600000,0.516863,-0.000107983,0.431342,0.428328
31,0.00000018,125,40,0.00000044,0.00000012,0.56,4,1.00E-012,4.89E-013,4.68E-014,41.2893,0.002338,65636400,49615.8,3154800000,0.556008,-0.000658108,0.470317,0.345806
60,0.00000032,70,30,0.00000018,0.00000014,0.42,60,1.00E-012,1.7E-013,4.66E-014,43.3789,0.00346384,77591900,42598,17315700000,0.413707,-0.000934826,0.328308,0.448335
44,0.00000018,200,35,0.00000032,0.00000028,0.6,25,1.00E-012,7.8E-013,5.96E-014,45.6139,0.00521112,68711400,36623.9,6827060000,0.595484,-0.00138079,0.509856,0.186821
52,0.0000003,195,175,0.00000055,0.00000037,0.5,27,1.00E-012,1.05E-012,1.12E-013,47.9366,0.00290901,15710800,85720.3,2763760000,0.494555,-0.000779154,0.408826,0.405722
76,0.00000008,35,60,0.00000008,0.00000026,0.42,90,1.00E-012,9.22E-014,5.58E-014,26.9713,0.00474857,435125000,4698.96,120645000000,0.415963,-0.00207566,0.33079,0.419744
90,0.00000046,65,40,0.00000057,0.00000014,0.44,87,1.00E-012,3.15E-013,6.06E-014,41.1458,0.00093721,20886700,121745,1774690000,0.430545,-0.000328483,0.344811,0.491576
6,0.00000046,130,10,0.00000043,0.00000026,0.52,61,1.00E-012,6.21E-013,2.69E-014,48.6289,0.00245898,50643300,109822,2885200000,0.515306,-0.000590648,0.42962,0.219734
86,0.0000001,140,85,0.00000054,0.00000042,0.5,91,1.00E-012,8.04E-013,8.14E-014,28.601,0.00212526,106223000,12665.9,3158720000,0.495664,-0.00115475,0.409938,0.382094
84,0.00000024,110,30,0.00000047,0.00000008,0.58,12,1.00E-012,4.38E-013,6.03E-014,34.8945,0.00189515,85204800,29314.5,3130540000,0.573718,-0.000655945,0.488014,0.343068
69,0.00000086,170,180,0.00000034,0.00000022,0.56,74,1.00E-012,5.91E-013,1.19E-013,47.65,0.00420769,22532000,57339.8,7035030000,0.547178,-0.00103188,0.461541,0.360623
88,0.00000008,110,160,0.00000016,0.00000024,0.46,66,1.00E-012,2.88E-013,1.02E-013,29.4832,0.0062649,245393000,4756.03,34207000000,0.455935,-0.00249095,0.370558,0.428145
55,0.00000046,185,90,0.00000055,0.00000026,0.5,91,1.00E-012,9.35E-013,8.29E-014,48.1239,0.00275658,20135300,92432.5,1905110000,0.493056,-0.00071101,0.407327,0.398674
28,0.00000086,10,20,0.00000043,0.00000043,0.42,38,1.00E-012,3.46E-014,2.34E-014,42.6131,0.000193268,9261550,699028,5241720000,0.41296,-0.0000664,0.327277,0.499511
32,0.00000032,165,110,0.00000049,0.00000041,0.46,56,1.00E-012,8.82E-013,7.82E-014,49.114,0.00277253,18785700,102997,3581420000,0.455323,-0.000706331,0.369614,0.423236
29,0.00000016,35,190,0.00000007,0.00000009,0.6,50,1.00E-012,4.31E-014,8.91E-014,31.4483,0.00606185,264465000,6163.27,183504000000,0.595677,-0.00174737,0.508499,0.329924
81,0.00000054,190,130,0.00000045,0.00000008,0.46,67,1.00E-012,7.19E-013,1.02E-013,35.8474,0.00353533,83041100,17536.4,3161450000,0.451315,-0.000911555,0.365622,0.482149
85,0.00000082,125,5,0.00000057,0.00000031,0.48,39,1.00E-012,7.27E-013,5.45E-014,47.0692,0.00167462,20858400,134754,1697750000,0.465255,-0.000466075,0.379521,0.189623
85,0.00000014,195,180,0.00000022,0.00000033,0.52,91,1.00E-012,6.63E-013,1.28E-013,43.3411,0.00772656,59855000,19013.9,19678300000,0.515087,-0.00222838,0.429566,0.347451
15,0.0000008,45,195,0.00000058,0.00000057,0.6,22,1.00E-012,2.1E-013,8.94E-014,48.0685,0.000636631,4249390,397684,3413460000,0.594927,-0.000162346,0.509189,0.335998
82,0.00000016,175,150,0.00000047,0.00000025,0.48,34,1.00E-012,7.75E-013,1.1E-013,40.9703,0.00307814,37112100,36326.7,3138720000,0.474958,-0.00104603,0.389256,0.432548
27,0.00000026,110,100,0.00000006,0.00000038,0.48,64,1.00E-012,1.93E-013,5.22E-014,30.7517,0.0213186,943645000,1617.43,245009000000,0.460389,-0.00633156,0.37319,0.217543
9,0.00000062,140,65,0.00000025,0.00000016,0.56,41,1.00E-012,3.96E-013,5.03E-014,46.0728,0.00480644,72001400,41861.7,10470300000,0.554074,-0.001148,0.468508,0.323164
52,0.00000066,55,170,0.00000059,0.00000049,0.56,99,1.00E-012,2.71E-013,9.55E-014,46.5231,0.000764383,5791440,277232,3079820000,0.551674,-0.000223892,0.465935,0.376127
69,0.0000007,130,105,0.0000003,0.00000039,0.44,21,1.00E-012,5.59E-013,8.46E-014,49.1369,0.00367008,22786300,78013.7,10147600000,0.429269,-0.000917236,0.343674,0.434983
