vcdl_n_width,vcdl_p_width,tc_n_width,tc_p_width,vdd,fmin,fmax,pmin,pmax
4.5e-07,7.2e-07,1.43e-06,1.805e-06,0.8,4563975715.4835,8509057069.4906,0.0018309,0.0027271
4.5e-07,7.2e-07,1.43e-06,1.9e-06,0.8,4523502193.0725,8280758616.8451,0.0018612,0.0027771
4.5e-07,7.2e-07,1.43e-06,1.995e-06,0.8,4510586252.9432,8111348846.4975,0.0018834,0.0028243
4.5e-07,7.2e-07,1.43e-06,2.09e-06,0.8,4497917129.1536,7961882345.0627,0.0018908,0.0028549
4.5e-07,7.6e-07,1.17e-06,1.71e-06,0.8,4880921893.5769,6937613539.1311,0.0017456,0.0028571
4.5e-07,7.6e-07,1.17e-06,1.71e-06,0.9,4414571386.0292,7975034224.4461,0.002387,0.0040972
4.5e-07,7.6e-07,1.17e-06,1.71e-06,1.0,4143766538.6933,8954192034.7156,0.0034196,0.0054175
4.5e-07,7.6e-07,1.17e-06,1.805e-06,0.8,4615381305.2795,6800193639.0719,0.0017913,0.0028826
4.5e-07,7.6e-07,1.17e-06,1.805e-06,0.9,4203141028.302,7795802926.6127,0.0024101,0.00414
4.5e-07,7.6e-07,1.17e-06,1.805e-06,1.0,3959768729.8018,8673844347.2968,0.0034202,0.0055426
4.5e-07,7.6e-07,1.17e-06,1.9e-06,0.8,4603596599.9492,6742102191.6702,0.0018432,0.0028919
4.5e-07,7.6e-07,1.17e-06,1.9e-06,0.9,4198535198.8545,7736348117.3953,0.0024405,0.0041766
4.5e-07,7.6e-07,1.17e-06,1.9e-06,1.0,3958530108.3477,8548337630.9282,0.0034217,0.0056486
4.5e-07,7.6e-07,1.17e-06,1.995e-06,0.8,4572099990.398,6686751242.6669,0.0018693,0.0029032
4.5e-07,7.6e-07,1.17e-06,1.995e-06,0.9,4177022649.4382,7707840628.9936,0.0024765,0.0042001
4.5e-07,7.6e-07,1.17e-06,1.995e-06,1.0,3942009573.2859,8578184341.9326,0.0034258,0.0057392
4.5e-07,7.6e-07,1.17e-06,2.09e-06,0.8,4572129965.5034,8189564250.6143,0.0018792,0.0029172
4.5e-07,7.6e-07,1.17e-06,2.09e-06,1.0,3948173763.6053,8522913064.0887,0.0034402,0.0058044
4.5e-07,7.6e-07,1.235e-06,1.71e-06,0.8,4370802246.1603,7206198919.1358,0.0017436,0.002818
4.5e-07,7.6e-07,1.235e-06,1.71e-06,0.9,3998721247.528,8286820286.8861,0.0023896,0.0040668
4.5e-07,7.6e-07,1.235e-06,1.71e-06,1.0,3778788344.5548,9591036705.4697,0.0034335,0.0052132
4.5e-07,7.6e-07,1.235e-06,1.805e-06,0.8,4578253122.4692,7010725957.6607,0.0017698,0.0028555
4.5e-07,7.6e-07,1.235e-06,1.805e-06,0.9,4174894824.1814,8097581821.1603,0.0024162,0.0041123
4.5e-07,7.6e-07,1.235e-06,1.805e-06,1.0,3938230205.5864,9366201827.1975,0.0034237,0.0054086
4.5e-07,7.6e-07,1.235e-06,1.9e-06,0.8,4546874617.4026,7351402731.6478,0.0018052,0.0028929
4.5e-07,7.6e-07,1.235e-06,1.9e-06,0.9,4151353168.5342,7935610588.4092,0.0024534,0.0041549
4.5e-07,7.6e-07,1.235e-06,1.9e-06,1.0,3919640222.6635,8861173994.6708,0.003412,0.0055802
4.5e-07,7.6e-07,1.235e-06,1.995e-06,0.8,4572206565.2168,6812095454.9778,0.0018533,0.00291
4.5e-07,7.6e-07,1.235e-06,1.995e-06,0.9,4175057554.8805,7906596611.0633,0.0025017,0.0041965
4.5e-07,7.6e-07,1.235e-06,1.995e-06,1.0,3942670739.2654,8728668034.8323,0.0034024,0.0057069
4.5e-07,7.6e-07,1.235e-06,2.09e-06,0.8,4530872801.7091,6692889060.774,0.0019155,0.002918
4.5e-07,7.6e-07,1.235e-06,2.09e-06,0.9,4142485553.4758,7659118259.4574,0.0025563,0.0042307
4.5e-07,7.6e-07,1.235e-06,2.09e-06,1.0,3915455978.6823,8468046582.0364,0.0034067,0.005804
4.5e-07,7.6e-07,1.3e-06,1.71e-06,0.8,4287264158.0781,8152748295.5802,0.0017808,0.0027906
4.5e-07,7.6e-07,1.3e-06,1.71e-06,0.9,3933015294.4165,8648189335.6404,0.0024039,0.0039716
4.5e-07,7.6e-07,1.3e-06,1.805e-06,0.8,4629842998.9928,7280183464.704,0.0017923,0.0028254
4.5e-07,7.6e-07,1.3e-06,1.805e-06,0.9,4221871950.1828,8445480772.1377,0.0024159,0.0040753
4.5e-07,7.6e-07,1.3e-06,1.9e-06,0.8,4598862677.147,7107154817.9573,0.0018082,0.0028558
4.5e-07,7.6e-07,1.3e-06,1.9e-06,0.9,4198234243.3884,8111021695.9242,0.0024425,0.0041279
4.5e-07,7.6e-07,1.3e-06,1.9e-06,1.0,3969654650.0768,9565851263.5448,0.0034615,0.0053886
4.5e-07,7.6e-07,1.3e-06,1.995e-06,0.8,4569843654.8055,7117752090.7446,0.0018332,0.0028922
4.5e-07,7.6e-07,1.3e-06,1.995e-06,0.9,4175837152.0599,8049408985.4741,0.0024872,0.0041692
4.5e-07,7.6e-07,1.3e-06,1.995e-06,1.0,3952243182.5395,9131746294.6921,0.0034517,0.0056005
4.5e-07,7.6e-07,1.3e-06,2.09e-06,0.8,4488043628.5267,6916965798.2475,0.0018705,0.0029238
4.5e-07,7.6e-07,1.3e-06,2.09e-06,0.9,4109360726.8988,7788245876.0616,0.002551,0.0042116
4.5e-07,7.6e-07,1.3e-06,2.09e-06,1.0,3894332257.4672,8948103452.2462,0.0034462,0.0057469
4.5e-07,7.6e-07,1.365e-06,1.71e-06,0.8,4342010313.5506,7922002516.7179,0.0018175,0.0027374
4.5e-07,7.6e-07,1.365e-06,1.805e-06,0.8,4605149656.1296,8159047759.8329,0.0018378,0.0027907
4.5e-07,7.6e-07,1.365e-06,1.9e-06,0.8,4578735790.7872,7373002298.7801,0.00185,0.0028329
4.5e-07,7.6e-07,1.365e-06,1.9e-06,0.9,4187171140.2265,8600353173.9284,0.0024508,0.0040722
4.5e-07,7.6e-07,1.365e-06,1.995e-06,0.8,4573909003.631,7217079549.4167,0.0018595,0.0028594
4.5e-07,7.6e-07,1.365e-06,1.995e-06,0.9,4185135454.0595,8422596161.9229,0.0024733,0.0041432
4.5e-07,7.6e-07,1.365e-06,2.09e-06,0.8,4530151530.4287,7053240372.8394,0.0018724,0.0028892
4.5e-07,7.6e-07,1.365e-06,2.09e-06,0.9,4150599891.993,8208726273.8432,0.0025143,0.0041835
4.5e-07,7.6e-07,1.43e-06,1.71e-06,0.8,4363265143.5443,8631501123.8275,0.0018073,0.0026884
4.5e-07,7.6e-07,1.43e-06,1.805e-06,0.8,4572769787.7733,8597932415.4719,0.0018547,0.0027394
4.5e-07,7.6e-07,1.43e-06,1.995e-06,0.8,4520829257.8087,8063336155.8779,0.0019081,0.0028337
4.5e-07,7.6e-07,1.43e-06,2.09e-06,0.8,4512144720.472,7335896630.3587,0.001918,0.002865
4.5e-07,8e-07,1.17e-06,1.71e-06,0.8,4910400667.2764,6993125527.9979,0.0017657,0.0028641
4.5e-07,8e-07,1.17e-06,1.71e-06,0.9,4430784697.2632,7889551905.98,0.002412,0.0041129
4.5e-07,8e-07,1.17e-06,1.71e-06,1.0,4154894107.6613,9040415633.5472,0.0034342,0.0054739
4.5e-07,8e-07,1.17e-06,1.805e-06,0.8,4667357160.3552,6823232390.8539,0.0018128,0.0028924
4.5e-07,8e-07,1.17e-06,1.805e-06,0.9,4240661634.0256,7818986647.5909,0.0024383,0.0041566
4.5e-07,8e-07,1.17e-06,1.805e-06,1.0,3989868686.0711,8776335492.3904,0.0034374,0.0056073
4.5e-07,8e-07,1.17e-06,1.9e-06,0.8,4638434568.5839,6746316329.1367,0.0018653,0.0029025
4.5e-07,8e-07,1.17e-06,1.9e-06,0.9,4223491765.2144,7775946133.0664,0.002472,0.0041962
4.5e-07,8e-07,1.17e-06,1.9e-06,1.0,3977098164.1007,8622383562.4648,0.0034425,0.0057118
4.5e-07,8e-07,1.17e-06,1.995e-06,0.8,4620176886.935,6704500188.2988,0.0018907,0.0029134
4.5e-07,8e-07,1.17e-06,1.995e-06,0.9,4213634520.9878,7738433066.3544,0.0025083,0.0042223
4.5e-07,8e-07,1.17e-06,1.995e-06,1.0,3970681057.4137,8605663026.6227,0.003452,0.0057926
4.5e-07,8e-07,1.17e-06,2.09e-06,0.8,4605001854.7852,6630877662.5605,0.0019,0.0029275
4.5e-07,8e-07,1.17e-06,2.09e-06,0.9,4205904461.8671,7663962753.1003,0.002548,0.0042422
4.5e-07,8e-07,1.17e-06,2.09e-06,1.0,3965829537.7893,8569938155.6456,0.0034714,0.0058478
4.5e-07,8e-07,1.235e-06,1.71e-06,0.8,4410999412.1522,7269512617.3805,0.0017629,0.0028253
4.5e-07,8e-07,1.235e-06,1.71e-06,0.9,4028009101.8758,8378875007.7966,0.0024111,0.0040848
4.5e-07,8e-07,1.235e-06,1.71e-06,1.0,3801847662.6006,9712799516.1833,0.0034454,0.0052657
4.5e-07,8e-07,1.235e-06,1.805e-06,0.8,4612399716.2214,7054530976.6923,0.0017897,0.0028635
4.5e-07,8e-07,1.235e-06,1.805e-06,0.9,4199566862.4681,8168936859.2957,0.0024438,0.0041291
4.5e-07,8e-07,1.235e-06,1.805e-06,1.0,3956642445.8782,9458345784.5402,0.0034369,0.0054654
4.5e-07,8e-07,1.235e-06,1.9e-06,0.8,4591805552.0936,6862266222.4505,0.0018258,0.0029015
4.5e-07,8e-07,1.235e-06,1.9e-06,0.9,4185531527.0916,7962258643.0117,0.0024866,0.0041718
4.5e-07,8e-07,1.235e-06,1.9e-06,1.0,3946094168.0044,8974789088.8129,0.0034284,0.0056459
4.5e-07,8e-07,1.235e-06,1.995e-06,0.8,4588121882.7786,6877100576.8607,0.001875,0.0029204
4.5e-07,8e-07,1.235e-06,1.995e-06,0.9,4185036389.9352,7929880897.1305,0.0025396,0.0042146
4.5e-07,8e-07,1.235e-06,1.995e-06,1.0,3947594372.3896,8781056455.3538,0.0034247,0.0057643
4.5e-07,8e-07,1.235e-06,2.09e-06,0.8,4566287788.3925,6658728105.1927,0.0019374,0.0029286
4.5e-07,8e-07,1.235e-06,2.09e-06,0.9,4169276383.5577,7673235776.4317,0.0025961,0.0042515
4.5e-07,8e-07,1.235e-06,2.09e-06,1.0,3935015672.4991,8586993236.6464,0.0034387,0.0058475
4.5e-07,8e-07,1.3e-06,1.71e-06,0.8,4329985535.9929,7523548622.0876,0.0018009,0.0027983
4.5e-07,8e-07,1.3e-06,1.71e-06,0.9,3966175830.3156,8741526825.6895,0.0024193,0.0039966
4.5e-07,8e-07,1.3e-06,1.805e-06,0.8,4615099894.4666,7337800765.5,0.0018126,0.0028336
4.5e-07,8e-07,1.3e-06,1.805e-06,0.9,4206454851.7505,8527851147.3933,0.0024368,0.0040942
4.5e-07,8e-07,1.3e-06,1.9e-06,0.8,4628967920.9048,7155184450.2835,0.001829,0.0028644
4.5e-07,8e-07,1.3e-06,1.9e-06,0.9,4220402667.8251,8322546025.0374,0.0024696,0.0041456
4.5e-07,8e-07,1.3e-06,1.9e-06,1.0,3985484180.3319,9676896974.6936,0.0034796,0.0054475
4.5e-07,8e-07,1.3e-06,1.995e-06,0.8,4603804260.456,6967650068.1629,0.0018542,0.0029008
4.5e-07,8e-07,1.3e-06,1.995e-06,0.9,4201046832.7005,8058685924.005,0.002521,0.0041865
4.5e-07,8e-07,1.3e-06,1.995e-06,1.0,3970742596.1161,9213799917.7411,0.0034743,0.0056628
4.5e-07,8e-07,1.3e-06,2.09e-06,0.8,4517211580.6704,9700431967.9219,0.0018911,0.0029331
4.5e-07,8e-07,1.3e-06,2.09e-06,0.9,4130530931.3991,8037269108.3471,0.0025914,0.0042295
4.5e-07,8e-07,1.3e-06,2.09e-06,1.0,3909685075.047,9071383120.8525,0.0034754,0.0058003
4.5e-07,8e-07,1.365e-06,1.71e-06,0.8,4366262851.9937,8282442887.4176,0.0018409,0.0027478
4.5e-07,8e-07,1.365e-06,1.805e-06,0.8,4631339334.8811,7589863758.3502,0.0018603,0.0027989
4.5e-07,8e-07,1.365e-06,1.805e-06,0.9,4225805133.5739,8924280120.8208,0.0024609,0.0039855
4.5e-07,8e-07,1.365e-06,1.9e-06,0.8,4616954654.9252,7424431167.0711,0.0018736,0.0028413
4.5e-07,8e-07,1.365e-06,1.9e-06,0.9,4215992492.6382,8415083313.8156,0.0024722,0.0040919
4.5e-07,8e-07,1.365e-06,1.995e-06,0.8,4592407423.0426,7260758650.9874,0.0018814,0.0028686
4.5e-07,8e-07,1.365e-06,1.995e-06,0.9,4197482311.624,8234294538.8018,0.0024993,0.004162
