l_cs,v_swing,vbias_SW_cas,w_cs,w_sw,SFDR(-HD3),pwr,i_fullscale
4E-07,0.1,1.2,2.5E-07,4E-07,63.62,0.01315,0.003453
4E-07,0.1,1.2,2.5E-07,5E-07,62.46,0.01315,0.003334
4E-07,0.1,1.2,2.5E-07,6E-07,61.74,0.01316,0.003212
4E-07,0.1,1.2,2.5E-07,7E-07,61.22,0.01316,0.003038
4E-07,0.1,1.2,5E-07,4E-07,62.69,0.02374,0.003498
4E-07,0.1,1.2,5E-07,5E-07,61.66,0.02376,0.003347
4E-07,0.1,1.2,5E-07,6E-07,61.61,0.02378,0.003304
4E-07,0.1,1.2,5E-07,7E-07,63.3,0.02379,0.003202
4E-07,0.1,1.2,7.5E-07,4E-07,64.31,0.03416,0.00342
4E-07,0.1,1.2,7.5E-07,5E-07,64.32,0.03422,0.003347
4E-07,0.1,1.2,7.5E-07,6E-07,64.64,0.03425,0.003284
4E-07,0.1,1.2,7.5E-07,7E-07,64.99,0.03428,0.003172
4E-07,0.1,1.2,1E-06,4E-07,69.39,0.04385,0.003384
4E-07,0.1,1.2,1E-06,5E-07,69.77,0.04398,0.003328
4E-07,0.1,1.2,1E-06,6E-07,73.05,0.04405,0.003261
4E-07,0.1,1.2,1E-06,7E-07,66.98,0.04411,0.003183
4E-07,0.1,1.2,1.25E-06,4E-07,73.58,0.05198,0.003365
4E-07,0.1,1.2,1.25E-06,5E-07,75.11,0.05222,0.003313
4E-07,0.1,1.2,1.25E-06,6E-07,74.58,0.05236,0.003235
4E-07,0.1,1.2,1.25E-06,7E-07,69.07,0.05246,0.003159
4E-07,0.1,1.2,1.5E-06,4E-07,72.05,0.05858,0.003344
4E-07,0.1,1.2,1.5E-06,5E-07,80.99,0.05894,0.003258
4E-07,0.1,1.2,1.5E-06,6E-07,71.62,0.05917,0.003225
4E-07,0.1,1.2,1.5E-06,7E-07,65.83,0.05934,0.003151
4E-07,0.1,1.2,1.75E-06,4E-07,74.91,0.06375,0.00333
4E-07,0.1,1.2,1.75E-06,5E-07,77.9,0.06425,0.003249
4E-07,0.1,1.2,1.75E-06,6E-07,72.3,0.06457,0.003211
4E-07,0.1,1.2,1.75E-06,7E-07,64.72,0.0648,0.003142
4E-07,0.1,1.2,2E-06,4E-07,77.65,0.06781,0.003321
4E-07,0.1,1.2,2E-06,5E-07,75.99,0.06842,0.003238
4E-07,0.1,1.2,2E-06,6E-07,71.96,0.06882,0.0032
4E-07,0.1,1.2,2E-06,7E-07,65.06,0.06911,0.003134
5E-07,0.1,1.2,2.5E-07,4E-07,63.88,0.01135,0.003511
5E-07,0.1,1.2,2.5E-07,5E-07,62.81,0.01135,0.003403
5E-07,0.1,1.2,2.5E-07,6E-07,62.18,0.01135,0.003303
5E-07,0.1,1.2,2.5E-07,7E-07,61.35,0.01136,0.003149
5E-07,0.1,1.2,5E-07,4E-07,63,0.02073,0.003548
5E-07,0.1,1.2,5E-07,5E-07,65.85,0.02075,0.003445
5E-07,0.1,1.2,5E-07,6E-07,64.34,0.02076,0.003355
5E-07,0.1,1.2,5E-07,7E-07,60.93,0.02077,0.003248
5E-07,0.1,1.2,7.5E-07,4E-07,63.11,0.0301,0.003477
5E-07,0.1,1.2,7.5E-07,5E-07,62.08,0.03014,0.003411
5E-07,0.1,1.2,7.5E-07,6E-07,61.73,0.03016,0.003346
5E-07,0.1,1.2,7.5E-07,7E-07,61.79,0.03018,0.003237
5E-07,0.1,1.2,1E-06,4E-07,68.07,0.03903,0.003436
5E-07,0.1,1.2,1E-06,5E-07,68.31,0.03911,0.003374
5E-07,0.1,1.2,1E-06,6E-07,66.34,0.03916,0.003293
5E-07,0.1,1.2,1E-06,7E-07,67.65,0.0392,0.003207
5E-07,0.1,1.2,1.25E-06,4E-07,71.1,0.04678,0.003401
5E-07,0.1,1.2,1.25E-06,5E-07,71.81,0.04694,0.0033
5E-07,0.1,1.2,1.25E-06,6E-07,74.93,0.04703,0.003266
5E-07,0.1,1.2,1.25E-06,7E-07,67.82,0.0471,0.003187
5E-07,0.1,1.2,1.5E-06,4E-07,70.01,0.05341,0.003373
5E-07,0.1,1.2,1.5E-06,5E-07,77.27,0.05368,0.003283
5E-07,0.1,1.2,1.5E-06,6E-07,74.25,0.05384,0.003237
5E-07,0.1,1.2,1.5E-06,7E-07,69.02,0.05396,0.003168
5E-07,0.1,1.2,1.75E-06,4E-07,72.63,0.05887,0.003353
5E-07,0.1,1.2,1.75E-06,5E-07,81.41,0.05925,0.003263
5E-07,0.1,1.2,1.75E-06,6E-07,71.96,0.05949,0.003222
5E-07,0.1,1.2,1.75E-06,7E-07,64.72,0.05966,0.003154
5E-07,0.1,1.2,2E-06,4E-07,75.06,0.06328,0.003339
5E-07,0.1,1.2,2E-06,5E-07,77.71,0.06377,0.003249
5E-07,0.1,1.2,2E-06,6E-07,72.81,0.06409,0.00321
5E-07,0.1,1.2,2E-06,7E-07,64.91,0.06431,0.003144
6E-07,0.1,1.2,2.5E-07,4E-07,64.62,0.009997,0.00355
6E-07,0.1,1.2,2.5E-07,5E-07,63.26,0.01,0.003443
6E-07,0.1,1.2,2.5E-07,6E-07,62.44,0.01,0.003361
6E-07,0.1,1.2,2.5E-07,7E-07,61.46,0.01001,0.003225
6E-07,0.1,1.2,5E-07,4E-07,63.3,0.01841,0.003581
6E-07,0.1,1.2,5E-07,5E-07,62.38,0.01842,0.003502
6E-07,0.1,1.2,5E-07,6E-07,61.47,0.01842,0.003417
6E-07,0.1,1.2,5E-07,7E-07,61.51,0.01843,0.003289
6E-07,0.1,1.2,7.5E-07,4E-07,64.19,0.02689,0.003528
6E-07,0.1,1.2,7.5E-07,5E-07,61.23,0.02692,0.003457
6E-07,0.1,1.2,7.5E-07,6E-07,61.75,0.02694,0.003371
6E-07,0.1,1.2,7.5E-07,7E-07,60.96,0.02695,0.0033
6E-07,0.1,1.2,1E-06,4E-07,64.97,0.03511,0.003477
6E-07,0.1,1.2,1E-06,5E-07,65.04,0.03516,0.003409
6E-07,0.1,1.2,1E-06,6E-07,65.17,0.0352,0.003326
6E-07,0.1,1.2,1E-06,7E-07,65.8,0.03523,0.003238
6E-07,0.1,1.2,1.25E-06,4E-07,70.01,0.04239,0.003433
6E-07,0.1,1.2,1.25E-06,5E-07,70.25,0.04251,0.003332
6E-07,0.1,1.2,1.25E-06,6E-07,66.53,0.04257,0.003285
6E-07,0.1,1.2,1.25E-06,7E-07,67.38,0.04262,0.003207
6E-07,0.1,1.2,1.5E-06,4E-07,72.43,0.04889,0.0034
6E-07,0.1,1.2,1.5E-06,5E-07,77.22,0.04908,0.003297
6E-07,0.1,1.2,1.5E-06,6E-07,76.01,0.0492,0.003253
6E-07,0.1,1.2,1.5E-06,7E-07,69.92,0.04928,0.003184
6E-07,0.1,1.2,1.75E-06,4E-07,70.7,0.05445,0.003375
6E-07,0.1,1.2,1.75E-06,5E-07,79.01,0.05474,0.003278
6E-07,0.1,1.2,1.75E-06,6E-07,74.04,0.05492,0.003232
6E-07,0.1,1.2,1.75E-06,7E-07,69.14,0.05505,0.003166
6E-07,0.1,1.2,2E-06,4E-07,73.15,0.05909,0.003357
6E-07,0.1,1.2,2E-06,5E-07,81.48,0.05948,0.00326
6E-07,0.1,1.2,2E-06,6E-07,72.31,0.05973,0.003219
6E-07,0.1,1.2,2E-06,7E-07,64.85,0.05991,0.003153
7E-07,0.1,1.2,2.5E-07,4E-07,64.93,0.00895,0.003569
7E-07,0.1,1.2,2.5E-07,5E-07,63.48,0.008953,0.003461
7E-07,0.1,1.2,2.5E-07,6E-07,62.55,0.008955,0.003393
7E-07,0.1,1.2,2.5E-07,7E-07,61.84,0.008957,0.003273
7E-07,0.1,1.2,5E-07,4E-07,64.52,0.01656,0.003608
7E-07,0.1,1.2,5E-07,5E-07,62.26,0.01657,0.003544
7E-07,0.1,1.2,5E-07,6E-07,61.67,0.01657,0.003467
7E-07,0.1,1.2,5E-07,7E-07,61.26,0.01658,0.003343
7E-07,0.1,1.2,7.5E-07,4E-07,62.81,0.0243,0.003571
7E-07,0.1,1.2,7.5E-07,5E-07,62.32,0.02432,0.003492
7E-07,0.1,1.2,7.5E-07,6E-07,61.16,0.02434,0.003401
7E-07,0.1,1.2,7.5E-07,7E-07,61.65,0.02435,0.003317
7E-07,0.1,1.2,1E-06,4E-07,63.43,0.03189,0.003511
7E-07,0.1,1.2,1E-06,5E-07,63.15,0.03193,0.003396
7E-07,0.1,1.2,1E-06,6E-07,62.38,0.03196,0.003348
7E-07,0.1,1.2,1E-06,7E-07,65.13,0.03198,0.00326
7E-07,0.1,1.2,1.25E-06,4E-07,68.44,0.03871,0.003462
7E-07,0.1,1.2,1.25E-06,5E-07,68.63,0.03879,0.003354
7E-07,0.1,1.2,1.25E-06,6E-07,66.69,0.03884,0.003304
7E-07,0.1,1.2,1.25E-06,7E-07,67.22,0.03888,0.003225
7E-07,0.1,1.2,1.5E-06,4E-07,70.66,0.04495,0.003425
7E-07,0.1,1.2,1.5E-06,5E-07,71.63,0.0451,0.003314
7E-07,0.1,1.2,1.5E-06,6E-07,74.69,0.04518,0.003271
7E-07,0.1,1.2,1.5E-06,7E-07,68.06,0.04524,0.003198
7E-07,0.1,1.2,1.75E-06,4E-07,73.73,0.05049,0.003396
7E-07,0.1,1.2,1.75E-06,5E-07,75.91,0.0507,0.003293
7E-07,0.1,1.2,1.75E-06,6E-07,76.56,0.05084,0.003245
7E-07,0.1,1.2,1.75E-06,7E-07,70.23,0.05094,0.003178
7E-07,0.1,1.2,2E-06,4E-07,71.26,0.05525,0.003375
7E-07,0.1,1.2,2E-06,5E-07,80.51,0.05555,0.003273
7E-07,0.1,1.2,2E-06,6E-07,72.6,0.05575,0.003227
7E-07,0.1,1.2,2E-06,7E-07,69.17,0.05589,0.003163
8E-07,0.1,1.2,2.5E-07,4E-07,64.95,0.008112,0.003573
8E-07,0.1,1.2,2.5E-07,5E-07,63.51,0.008115,0.003464
8E-07,0.1,1.2,2.5E-07,6E-07,62.51,0.008117,0.003406
8E-07,0.1,1.2,2.5E-07,7E-07,61.72,0.008119,0.003299
8E-07,0.1,1.2,5E-07,4E-07,63.36,0.01506,0.00364
8E-07,0.1,1.2,5E-07,5E-07,62.06,0.01507,0.003578
8E-07,0.1,1.2,5E-07,6E-07,61.68,0.01507,0.003503
8E-07,0.1,1.2,5E-07,7E-07,61.16,0.01508,0.003383
8E-07,0.1,1.2,7.5E-07,4E-07,63.1,0.02218,0.003604
8E-07,0.1,1.2,7.5E-07,5E-07,62.6,0.02219,0.003522
8E-07,0.1,1.2,7.5E-07,6E-07,62.5,0.0222,0.003443
8E-07,0.1,1.2,7.5E-07,7E-07,60.3,0.02221,0.003344
8E-07,0.1,1.2,1E-06,4E-07,63.62,0.02921,0.00354
8E-07,0.1,1.2,1E-06,5E-07,61.46,0.02924,0.003423
8E-07,0.1,1.2,1E-06,6E-07,61.7,0.02926,0.003368
8E-07,0.1,1.2,1E-06,7E-07,61.75,0.02927,0.00328
8E-07,0.1,1.2,1.25E-06,4E-07,65.38,0.03559,0.003488
8E-07,0.1,1.2,1.25E-06,5E-07,65.5,0.03565,0.003374
8E-07,0.1,1.2,1.25E-06,6E-07,66.02,0.03569,0.003322
8E-07,0.1,1.2,1.25E-06,7E-07,66.45,0.03572,0.003242
8E-07,0.1,1.2,1.5E-06,4E-07,69.85,0.04154,0.003448
8E-07,0.1,1.2,1.5E-06,5E-07,70.18,0.04165,0.003336
8E-07,0.1,1.2,1.5E-06,6E-07,67.92,0.04171,0.003287
8E-07,0.1,1.2,1.5E-06,7E-07,68.88,0.04176,0.003212
8E-07,0.1,1.2,1.75E-06,4E-07,71.68,0.04696,0.003417
8E-07,0.1,1.2,1.75E-06,5E-07,73.24,0.04712,0.003303
8E-07,0.1,1.2,1.75E-06,6E-07,76.49,0.04722,0.00326
8E-07,0.1,1.2,1.75E-06,7E-07,68.57,0.0473,0.00319
8E-07,0.1,1.2,2E-06,4E-07,75.07,0.05174,0.003393
8E-07,0.1,1.2,2E-06,5E-07,77.49,0.05198,0.003286
8E-07,0.1,1.2,2E-06,6E-07,76.75,0.05214,0.003238
8E-07,0.1,1.2,2E-06,7E-07,70.12,0.05224,0.003172
4E-07,0.2,1.2,2.5E-07,4E-07,68.61,0.01313,0.008634
4E-07,0.2,1.2,2.5E-07,5E-07,65.09,0.01314,0.008305
4E-07,0.2,1.2,2.5E-07,6E-07,60.72,0.01315,0.007959
4E-07,0.2,1.2,2.5E-07,7E-07,61.93,0.01315,0.007536
4E-07,0.2,1.2,5E-07,4E-07,65.75,0.02362,0.009411
4E-07,0.2,1.2,5E-07,5E-07,64.19,0.02366,0.009076
4E-07,0.2,1.2,5E-07,6E-07,62.99,0.02369,0.008762
4E-07,0.2,1.2,5E-07,7E-07,61.92,0.02371,0.0084
4E-07,0.2,1.2,7.5E-07,4E-07,62.56,0.03394,0.009166
4E-07,0.2,1.2,7.5E-07,5E-07,61.36,0.03404,0.008817
4E-07,0.2,1.2,7.5E-07,6E-07,60.42,0.0341,0.008481
4E-07,0.2,1.2,7.5E-07,7E-07,60.06,0.03415,0.008057
4E-07,0.2,1.2,1E-06,4E-07,62.87,0.04352,0.008803
4E-07,0.2,1.2,1E-06,5E-07,61.78,0.04371,0.00848
4E-07,0.2,1.2,1E-06,6E-07,61.44,0.04383,0.008203
4E-07,0.2,1.2,1E-06,7E-07,60.87,0.04393,0.007857
4E-07,0.2,1.2,1.25E-06,4E-07,63.68,0.05153,0.008554
4E-07,0.2,1.2,1.25E-06,5E-07,62.97,0.05186,0.008255
4E-07,0.2,1.2,1.25E-06,6E-07,62.14,0.05206,0.008016
4E-07,0.2,1.2,1.25E-06,7E-07,61.55,0.05222,0.00776
4E-07,0.2,1.2,1.5E-06,4E-07,64.75,0.058,0.008395
4E-07,0.2,1.2,1.5E-06,5E-07,63.53,0.05848,0.008107
4E-07,0.2,1.2,1.5E-06,6E-07,62.24,0.0588,0.007911
4E-07,0.2,1.2,1.5E-06,7E-07,62.08,0.05903,0.007692
4E-07,0.2,1.2,1.75E-06,4E-07,65.1,0.06308,0.008286
4E-07,0.2,1.2,1.75E-06,5E-07,64.27,0.06372,0.008009
4E-07,0.2,1.2,1.75E-06,6E-07,63.6,0.06412,0.007846
4E-07,0.2,1.2,1.75E-06,7E-07,62.69,0.06443,0.007645
4E-07,0.2,1.2,2E-06,4E-07,64.96,0.06706,0.008213
4E-07,0.2,1.2,2E-06,5E-07,65.53,0.06783,0.007939
4E-07,0.2,1.2,2E-06,6E-07,64.77,0.06833,0.007801
4E-07,0.2,1.2,2E-06,7E-07,64.05,0.0687,0.007611
5E-07,0.2,1.2,2.5E-07,4E-07,64.1,0.01134,0.008611
5E-07,0.2,1.2,2.5E-07,5E-07,60.62,0.01135,0.008342
5E-07,0.2,1.2,2.5E-07,6E-07,60.11,0.01136,0.008055
5E-07,0.2,1.2,2.5E-07,7E-07,57.12,0.01135,0.007673
5E-07,0.2,1.2,5E-07,4E-07,68.34,0.02065,0.009622
5E-07,0.2,1.2,5E-07,5E-07,66.54,0.02067,0.009361
5E-07,0.2,1.2,5E-07,6E-07,65.16,0.02069,0.009053
5E-07,0.2,1.2,5E-07,7E-07,63.85,0.02071,0.008646
5E-07,0.2,1.2,7.5E-07,4E-07,62.61,0.02992,0.00946
5E-07,0.2,1.2,7.5E-07,5E-07,62.37,0.02999,0.00914
5E-07,0.2,1.2,7.5E-07,6E-07,62.07,0.03004,0.00886
5E-07,0.2,1.2,7.5E-07,7E-07,59.87,0.03008,0.008485
5E-07,0.2,1.2,1E-06,4E-07,62.81,0.03876,0.009043
5E-07,0.2,1.2,1E-06,5E-07,61.42,0.0389,0.008715
5E-07,0.2,1.2,1E-06,6E-07,60.58,0.03898,0.008439
5E-07,0.2,1.2,1E-06,7E-07,60.55,0.03905,0.008091
5E-07,0.2,1.2,1.25E-06,4E-07,63.46,0.04641,0.008741
5E-07,0.2,1.2,1.25E-06,5E-07,62.21,0.04664,0.008427
5E-07,0.2,1.2,1.25E-06,6E-07,61.58,0.04679,0.008189
5E-07,0.2,1.2,1.25E-06,7E-07,61.22,0.0469,0.007902
5E-07,0.2,1.2,1.5E-06,4E-07,63.37,0.05292,0.008536
5E-07,0.2,1.2,1.5E-06,5E-07,63.09,0.05329,0.008235
5E-07,0.2,1.2,1.5E-06,6E-07,62.06,0.05352,0.008018
5E-07,0.2,1.2,1.5E-06,7E-07,61.99,0.05369,0.007794
5E-07,0.2,1.2,1.75E-06,4E-07,65.07,0.05827,0.008396
5E-07,0.2,1.2,1.75E-06,5E-07,63.45,0.05878,0.008104
5E-07,0.2,1.2,1.75E-06,6E-07,62.1,0.0591,0.007921
5E-07,0.2,1.2,1.75E-06,7E-07,61.92,0.05935,0.007719
5E-07,0.2,1.2,2E-06,4E-07,65.21,0.0626,0.008296
5E-07,0.2,1.2,2E-06,5E-07,64.41,0.06324,0.008018
5E-07,0.2,1.2,2E-06,6E-07,63.78,0.06364,0.007856
5E-07,0.2,1.2,2E-06,7E-07,62.84,0.06395,0.007666
6E-07,0.2,1.2,2.5E-07,4E-07,60.74,0.009995,0.008574
6E-07,0.2,1.2,2.5E-07,5E-07,56.78,0.01001,0.008317
6E-07,0.2,1.2,2.5E-07,6E-07,64.71,0.01001,0.008085
6E-07,0.2,1.2,2.5E-07,7E-07,53.89,0.01,0.007759
6E-07,0.2,1.2,5E-07,4E-07,71.43,0.01834,0.009722
6E-07,0.2,1.2,5E-07,5E-07,68.8,0.01836,0.009505
6E-07,0.2,1.2,5E-07,6E-07,66.75,0.01838,0.009246
6E-07,0.2,1.2,5E-07,7E-07,64.86,0.01839,0.008873
6E-07,0.2,1.2,7.5E-07,4E-07,63.66,0.02675,0.00965
6E-07,0.2,1.2,7.5E-07,5E-07,61.76,0.0268,0.009354
6E-07,0.2,1.2,7.5E-07,6E-07,61.23,0.02684,0.009096
6E-07,0.2,1.2,7.5E-07,7E-07,60.29,0.02686,0.008738
6E-07,0.2,1.2,1E-06,4E-07,62.76,0.03489,0.009251
6E-07,0.2,1.2,1E-06,5E-07,61.81,0.03499,0.008921
6E-07,0.2,1.2,1E-06,6E-07,60.91,0.03505,0.00865
6E-07,0.2,1.2,1E-06,7E-07,60.52,0.0351,0.008298
6E-07,0.2,1.2,1.25E-06,4E-07,63.33,0.04209,0.00892
6E-07,0.2,1.2,1.25E-06,5E-07,62.42,0.04226,0.008595
6E-07,0.2,1.2,1.25E-06,6E-07,61.6,0.04237,0.00835
6E-07,0.2,1.2,1.25E-06,7E-07,61.23,0.04245,0.008038
6E-07,0.2,1.2,1.5E-06,4E-07,64.38,0.04847,0.008677
6E-07,0.2,1.2,1.5E-06,5E-07,61.39,0.04875,0.008365
6E-07,0.2,1.2,1.5E-06,6E-07,62.27,0.04892,0.008142
6E-07,0.2,1.2,1.5E-06,7E-07,61.9,0.04905,0.007889
6E-07,0.2,1.2,1.75E-06,4E-07,64.51,0.05393,0.008508
6E-07,0.2,1.2,1.75E-06,5E-07,63.64,0.05433,0.008209
6E-07,0.2,1.2,1.75E-06,6E-07,62.74,0.05458,0.007997
6E-07,0.2,1.2,1.75E-06,7E-07,62.41,0.05477,0.007791
6E-07,0.2,1.2,2E-06,4E-07,64.62,0.05848,0.008389
6E-07,0.2,1.2,2E-06,5E-07,63.78,0.059,0.008097
6E-07,0.2,1.2,2E-06,6E-07,63.5,0.05933,0.007915
6E-07,0.2,1.2,2E-06,7E-07,62.37,0.05958,0.007722
7E-07,0.2,1.2,2.5E-07,4E-07,58.28,0.008952,0.008502
7E-07,0.2,1.2,2.5E-07,5E-07,56.11,0.008958,0.008257
7E-07,0.2,1.2,2.5E-07,6E-07,53.15,0.00896,0.008082
7E-07,0.2,1.2,2.5E-07,7E-07,51.17,0.008958,0.007799
7E-07,0.2,1.2,5E-07,4E-07,72,0.01652,0.00974
7E-07,0.2,1.2,5E-07,5E-07,69.43,0.01653,0.009554
7E-07,0.2,1.2,5E-07,6E-07,67.38,0.01655,0.009333
7E-07,0.2,1.2,5E-07,7E-07,65.35,0.01656,0.008998
7E-07,0.2,1.2,7.5E-07,4E-07,65.32,0.02419,0.009774
7E-07,0.2,1.2,7.5E-07,5E-07,63.86,0.02423,0.00951
7E-07,0.2,1.2,7.5E-07,6E-07,62.73,0.02426,0.009272
7E-07,0.2,1.2,7.5E-07,7E-07,61.74,0.02428,0.008931
7E-07,0.2,1.2,1E-06,4E-07,62.75,0.0317,0.009426
7E-07,0.2,1.2,1E-06,5E-07,61.78,0.03178,0.0091
7E-07,0.2,1.2,1E-06,6E-07,60.59,0.03183,0.008896
7E-07,0.2,1.2,1E-06,7E-07,60.63,0.03187,0.008577
7E-07,0.2,1.2,1.25E-06,4E-07,63.55,0.03845,0.009088
7E-07,0.2,1.2,1.25E-06,5E-07,62.35,0.03858,0.008755
7E-07,0.2,1.2,1.25E-06,6E-07,61.39,0.03867,0.008505
7E-07,0.2,1.2,1.25E-06,7E-07,61.02,0.03873,0.008185
7E-07,0.2,1.2,1.5E-06,4E-07,63.55,0.0446,0.008818
7E-07,0.2,1.2,1.5E-06,5E-07,63.19,0.04481,0.008499
7E-07,0.2,1.2,1.5E-06,6E-07,61.97,0.04495,0.008266
7E-07,0.2,1.2,1.5E-06,7E-07,61.33,0.04505,0.007984
7E-07,0.2,1.2,1.75E-06,4E-07,64.33,0.05004,0.008622
7E-07,0.2,1.2,1.75E-06,5E-07,63.41,0.05035,0.008314
7E-07,0.2,1.2,1.75E-06,6E-07,62.48,0.05055,0.008095
7E-07,0.2,1.2,1.75E-06,7E-07,62.47,0.05069,0.007864
7E-07,0.2,1.2,2E-06,4E-07,65.07,0.0547,0.008482
7E-07,0.2,1.2,2E-06,5E-07,63.18,0.05513,0.008181
7E-07,0.2,1.2,2E-06,6E-07,63,0.0554,0.007977
7E-07,0.2,1.2,2E-06,7E-07,62.85,0.0556,0.007779
8E-07,0.2,1.2,2.5E-07,4E-07,56,0.008112,0.008406
8E-07,0.2,1.2,2.5E-07,5E-07,54.45,0.008118,0.008254
8E-07,0.2,1.2,2.5E-07,6E-07,50.73,0.008122,0.008078
8E-07,0.2,1.2,2.5E-07,7E-07,49.01,0.008121,0.007842
8E-07,0.2,1.2,5E-07,4E-07,71.17,0.01503,0.009704
8E-07,0.2,1.2,5E-07,5E-07,68.81,0.01504,0.009542
8E-07,0.2,1.2,5E-07,6E-07,66.89,0.01506,0.009348
8E-07,0.2,1.2,5E-07,7E-07,64.33,0.01506,0.009045
8E-07,0.2,1.2,7.5E-07,4E-07,66.49,0.02209,0.009846
8E-07,0.2,1.2,7.5E-07,5E-07,64.92,0.02212,0.009613
8E-07,0.2,1.2,7.5E-07,6E-07,63.76,0.02214,0.009398
8E-07,0.2,1.2,7.5E-07,7E-07,62.81,0.02216,0.009074
8E-07,0.2,1.2,1E-06,4E-07,63.46,0.02905,0.009591
8E-07,0.2,1.2,1E-06,5E-07,61.96,0.02911,0.00928
8E-07,0.2,1.2,1E-06,6E-07,61.03,0.02915,0.009049
8E-07,0.2,1.2,1E-06,7E-07,60.48,0.02919,0.00873
8E-07,0.2,1.2,1.25E-06,4E-07,63.09,0.03537,0.009242
8E-07,0.2,1.2,1.25E-06,5E-07,62.01,0.03548,0.008911
8E-07,0.2,1.2,1.25E-06,6E-07,61.34,0.03554,0.008652
8E-07,0.2,1.2,1.25E-06,7E-07,61.42,0.03559,0.008325
8E-07,0.2,1.2,1.5E-06,4E-07,63.73,0.04125,0.00896
8E-07,0.2,1.2,1.5E-06,5E-07,62.61,0.04141,0.00863
8E-07,0.2,1.2,1.5E-06,6E-07,61.97,0.04152,0.008387
8E-07,0.2,1.2,1.5E-06,7E-07,61.89,0.0416,0.008087
8E-07,0.2,1.2,1.75E-06,4E-07,64.49,0.04657,0.008741
8E-07,0.2,1.2,1.75E-06,5E-07,62.58,0.04682,0.008421
8E-07,0.2,1.2,1.75E-06,6E-07,61.97,0.04697,0.008196
8E-07,0.2,1.2,1.75E-06,7E-07,61.75,0.04709,0.007938
8E-07,0.2,1.2,2E-06,4E-07,64.71,0.05126,0.00858
8E-07,0.2,1.2,2E-06,5E-07,63.5,0.05161,0.008269
8E-07,0.2,1.2,2E-06,6E-07,62.91,0.05182,0.008055
8E-07,0.2,1.2,2E-06,7E-07,62.56,0.05199,0.007838
4E-07,0.3,1.2,2.5E-07,4E-07,58.14,0.01311,0.0123
4E-07,0.3,1.2,2.5E-07,5E-07,54.85,0.01313,0.01181
4E-07,0.3,1.2,2.5E-07,6E-07,52.28,0.01314,0.0113
4E-07,0.3,1.2,2.5E-07,7E-07,47.76,0.01315,0.01078
4E-07,0.3,1.2,5E-07,4E-07,73.07,0.02344,0.01608
4E-07,0.3,1.2,5E-07,5E-07,70.51,0.0235,0.01568
4E-07,0.3,1.2,5E-07,6E-07,68.44,0.02355,0.01521
4E-07,0.3,1.2,5E-07,7E-07,67.19,0.02358,0.01462
4E-07,0.3,1.2,7.5E-07,4E-07,69.02,0.03344,0.01709
4E-07,0.3,1.2,7.5E-07,5E-07,66.96,0.03358,0.01665
4E-07,0.3,1.2,7.5E-07,6E-07,65.47,0.03368,0.01619
4E-07,0.3,1.2,7.5E-07,7E-07,63.5,0.03376,0.01551
4E-07,0.3,1.2,1E-06,4E-07,64.81,0.0426,0.01694
4E-07,0.3,1.2,1E-06,5E-07,60.51,0.0429,0.01643
4E-07,0.3,1.2,1E-06,6E-07,63.83,0.0431,0.01591
4E-07,0.3,1.2,1E-06,7E-07,58.44,0.04328,0.01529
4E-07,0.3,1.2,1.25E-06,4E-07,67.45,0.05018,0.01648
4E-07,0.3,1.2,1.25E-06,5E-07,67.14,0.05069,0.01589
4E-07,0.3,1.2,1.25E-06,6E-07,64.47,0.05105,0.01533
4E-07,0.3,1.2,1.25E-06,7E-07,60.67,0.05134,0.0146
4E-07,0.3,1.2,1.5E-06,4E-07,66.89,0.05631,0.01601
4E-07,0.3,1.2,1.5E-06,5E-07,63.2,0.05706,0.01536
4E-07,0.3,1.2,1.5E-06,6E-07,61.26,0.05757,0.01479
4E-07,0.3,1.2,1.5E-06,7E-07,60.51,0.05799,0.01402
4E-07,0.3,1.2,1.75E-06,4E-07,64.83,0.06117,0.01563
4E-07,0.3,1.2,1.75E-06,5E-07,62.57,0.06212,0.01496
4E-07,0.3,1.2,1.75E-06,6E-07,61.51,0.06277,0.0144
4E-07,0.3,1.2,1.75E-06,7E-07,60.72,0.06329,0.01371
4E-07,0.3,1.2,2E-06,4E-07,64.47,0.06504,0.01535
4E-07,0.3,1.2,2E-06,5E-07,62.73,0.06616,0.01467
4E-07,0.3,1.2,2E-06,6E-07,61.8,0.06691,0.01412
4E-07,0.3,1.2,2E-06,7E-07,61.08,0.0675,0.01351
5E-07,0.3,1.2,2.5E-07,4E-07,55.79,0.01133,0.0122
5E-07,0.3,1.2,2.5E-07,5E-07,52.47,0.01134,0.01173
5E-07,0.3,1.2,2.5E-07,6E-07,48.22,0.01135,0.01122
5E-07,0.3,1.2,2.5E-07,7E-07,47.18,0.01136,0.01068
5E-07,0.3,1.2,5E-07,4E-07,68.79,0.02054,0.01602
5E-07,0.3,1.2,5E-07,5E-07,65.68,0.02058,0.01569
5E-07,0.3,1.2,5E-07,6E-07,63.63,0.02061,0.01531
5E-07,0.3,1.2,5E-07,7E-07,60.84,0.02063,0.0148
5E-07,0.3,1.2,7.5E-07,4E-07,69.02,0.02958,0.01729
5E-07,0.3,1.2,7.5E-07,5E-07,67.45,0.02968,0.01694
5E-07,0.3,1.2,7.5E-07,6E-07,66.29,0.02974,0.01654
5E-07,0.3,1.2,7.5E-07,7E-07,65.25,0.0298,0.01609
5E-07,0.3,1.2,1E-06,4E-07,62.4,0.03807,0.01733
