nf_cap,nf_load,res,nf_dif,delay,delay0
19.0,19.0,2800.0,12.0,3.74501e-10,1.78651e-10
11.0,18.0,4000.0,20.0,1.59138e-10,9.56736e-11
17.0,12.0,4000.0,20.0,3.14476e-10,1.60452e-10
11.0,14.0,2100.0,11.0,1.46449e-10,8.22641e-11
18.0,17.0,2500.0,21.0,3.48545e-10,1.75976e-10
20.0,12.0,2200.0,20.0,4.16379e-10,2.01975e-10
18.0,20.0,2400.0,16.0,3.43195e-10,1.69448e-10
16.0,17.0,2900.0,13.0,2.76891e-10,1.39402e-10
15.0,15.0,2200.0,14.0,2.47736e-10,1.2748e-10
15.0,18.0,2800.0,17.0,2.52334e-10,1.32797e-10
12.0,14.0,3800.0,13.0,1.71161e-10,9.47472e-11
12.0,15.0,3700.0,12.0,1.70018e-10,9.34694e-11
11.0,12.0,3100.0,21.0,1.5937e-10,9.57145e-11
17.0,20.0,2300.0,14.0,3.08646e-10,1.53445e-10
13.0,12.0,2300.0,21.0,2.03938e-10,1.148e-10
21.0,14.0,2800.0,13.0,4.4903e-10,2.09243e-10
12.0,16.0,3700.0,14.0,1.72541e-10,9.63204e-11
18.0,12.0,2400.0,15.0,3.40998e-10,1.66655e-10
14.0,21.0,3500.0,13.0,2.2195e-10,1.17449e-10
11.0,14.0,2500.0,15.0,1.51574e-10,8.78062e-11
12.0,18.0,2200.0,20.0,1.79926e-10,1.04345e-10
20.0,18.0,2100.0,21.0,4.18448e-10,2.04519e-10
17.0,14.0,2600.0,20.0,3.14168e-10,1.60298e-10
18.0,17.0,2500.0,13.0,3.4028e-10,1.65335e-10
20.0,11.0,2500.0,17.0,4.13704e-10,1.983e-10
13.0,13.0,2700.0,15.0,1.96663e-10,1.06982e-10
18.0,19.0,3500.0,12.0,3.40079e-10,1.64744e-10
17.0,17.0,3200.0,16.0,3.10498e-10,1.55807e-10
15.0,16.0,2200.0,12.0,2.45807e-10,1.25023e-10
12.0,21.0,2800.0,11.0,1.70747e-10,9.41565e-11
14.0,12.0,3300.0,14.0,2.20373e-10,1.15784e-10
19.0,19.0,3400.0,21.0,3.83476e-10,1.90848e-10
11.0,16.0,2400.0,13.0,1.495e-10,8.56202e-11
11.0,13.0,2900.0,19.0,1.56883e-10,9.32462e-11
19.0,13.0,4000.0,20.0,3.81317e-10,1.88186e-10
21.0,13.0,3000.0,17.0,4.52201e-10,2.14342e-10
21.0,19.0,3600.0,21.0,4.57347e-10,2.21072e-10
11.0,11.0,2200.0,20.0,1.57248e-10,9.35859e-11
20.0,21.0,2600.0,13.0,4.12293e-10,1.95441e-10
16.0,14.0,3900.0,16.0,2.7928e-10,1.42487e-10
17.0,20.0,3800.0,21.0,3.17192e-10,1.63689e-10
11.0,12.0,3700.0,17.0,1.5416e-10,9.03724e-11
14.0,20.0,4000.0,14.0,2.22446e-10,1.18121e-10
21.0,17.0,2700.0,18.0,4.53302e-10,2.15951e-10
16.0,20.0,2500.0,19.0,2.83744e-10,1.47817e-10
21.0,16.0,2200.0,18.0,4.52719e-10,2.15323e-10
18.0,11.0,2300.0,13.0,3.3899e-10,1.63859e-10
16.0,15.0,3300.0,14.0,2.77228e-10,1.39977e-10
18.0,18.0,3200.0,11.0,3.39305e-10,1.63409e-10
11.0,13.0,2800.0,19.0,1.56848e-10,9.32137e-11
12.0,13.0,2400.0,13.0,1.70589e-10,9.41818e-11
13.0,16.0,2800.0,12.0,1.93441e-10,1.03343e-10
13.0,15.0,3700.0,14.0,1.95881e-10,1.06099e-10
14.0,20.0,3200.0,19.0,2.28396e-10,1.24871e-10
11.0,12.0,2100.0,21.0,1.58853e-10,9.52884e-11
21.0,16.0,4000.0,11.0,4.48867e-10,2.07836e-10
13.0,11.0,2300.0,21.0,2.0393e-10,1.14723e-10
20.0,16.0,2200.0,17.0,4.14107e-10,1.98852e-10
20.0,17.0,2100.0,16.0,4.13063e-10,1.97463e-10
18.0,17.0,3300.0,18.0,3.45203e-10,1.71917e-10
14.0,13.0,2800.0,15.0,2.22002e-10,1.1766e-10
14.0,17.0,3100.0,13.0,2.20753e-10,1.16145e-10
16.0,21.0,3400.0,21.0,2.86856e-10,1.51248e-10
11.0,11.0,2300.0,13.0,1.48382e-10,8.43249e-11
15.0,12.0,3800.0,13.0,2.46865e-10,1.26206e-10
16.0,20.0,3000.0,13.0,2.77544e-10,1.40161e-10
11.0,21.0,3300.0,12.0,1.49963e-10,8.59658e-11
21.0,12.0,3200.0,13.0,4.48789e-10,2.08968e-10
16.0,11.0,2300.0,12.0,2.74014e-10,1.35983e-10
20.0,12.0,3400.0,11.0,4.09344e-10,1.91042e-10
19.0,13.0,2100.0,21.0,3.81909e-10,1.89083e-10
12.0,20.0,3700.0,19.0,1.8013e-10,1.04432e-10
11.0,18.0,2200.0,16.0,1.53306e-10,8.97362e-11
12.0,21.0,3500.0,21.0,1.82972e-10,1.074e-10
19.0,13.0,2200.0,11.0,3.72554e-10,1.75957e-10
21.0,18.0,2900.0,14.0,4.50187e-10,2.11068e-10
21.0,17.0,2400.0,11.0,4.48707e-10,2.07687e-10
12.0,11.0,3900.0,19.0,1.78469e-10,1.02414e-10
19.0,16.0,2700.0,17.0,3.78217e-10,1.84377e-10
12.0,14.0,2200.0,19.0,1.78169e-10,1.02387e-10
11.0,11.0,3800.0,20.0,1.57863e-10,9.40858e-11
18.0,13.0,3000.0,13.0,3.3966e-10,1.64582e-10
14.0,17.0,4000.0,16.0,2.24082e-10,1.20031e-10
