Wpmos_in,L_Radius,Cin_OD,Wnmos_follower,center_freq,Output Impedance (Rout),Power(mW),Gain,spectrum_sfdr,spectrum_snr,spectrum_enob
25,10e-6,40e-15,20,31.6e9,41.77,13.91,-693.2e-3,53.96,57.71,9.292
25,10e-6,70e-15,15,31.6e9,45.82,13.94,-2.622,53.97,57.71,9.293
25,10e-6,70e-15,10,33.6e9,53.24,13.94,-4.838,53.97,57.68,9.287
25,10e-6,70e-15,12,32.4e9,49.11,13.94,-3.796,53.98,57.69,9.29
25,10e-6,70e-15,14,32e9,46.62,13.94,-2.979,53.98,57.71,9.293
25,10e-6,70e-15,16,31.2e9,45.16,13.93,-2.318,53.97,57.71,9.293
25,10e-6,70e-15,18,30.4e9,44.35,13.93,-1.772,53.95,57.7,9.291
25,10e-6,70e-15,20,30e9,43.94,13.92,-1.319,53.94,57.68,9.289
25,10e-6,100e-15,15,30.4e9,47.12,13.94,-3.672,54.24,57.92,9.328
25,10e-6,100e-15,10,32.4e9,54.04,13.95,-6.219,54.03,57.73,9.296
25,10e-6,100e-15,12,31.6e9,50.15,13.95,-5.034,54.1,57.8,9.308
25,10e-6,100e-15,14,30.8e9,47.84,13.95,-4.089,54.18,57.88,9.32
25,10e-6,100e-15,16,30e9,46.51,13.94,-3.312,54.33,57.99,9.34
25,10e-6,100e-15,18,29.2e9,45.76,13.93,-2.663,54.63,58.26,9.385
25,10e-6,100e-15,20,28.8e9,45.36,13.93,-2.117,55.16,58.73,9.462
25,12e-6,10e-15,15,32.4e9,46.4,13.83,-329.9e-3,54.03,57.69,9.29
25,12e-6,10e-15,10,34e9,54.29,13.82,-1.32,54.11,57.67,9.286
25,12e-6,10e-15,12,33.6e9,50.02,13.83,-848.9e-3,54.09,57.7,9.291
25,12e-6,10e-15,14,32.8e9,47.32,13.83,-485.2e-3,54.05,57.7,9.291
25,12e-6,10e-15,16,32e9,45.66,13.82,-191.3e-3,54,57.68,9.289
25,12e-6,10e-15,18,31.6e9,44.69,13.81,56.91e-3,53.95,57.66,9.284
25,12e-6,10e-15,20,30.8e9,44.17,13.8,269.7e-3,53.9,57.62,9.278
25,12e-6,10e-15,15,32.4e9,46.4,13.83,-329.9e-3,54.03,57.69,9.29
25,12e-6,10e-15,10,34e9,54.29,13.82,-1.32,54.11,57.67,9.286
25,12e-6,10e-15,12,33.6e9,50.02,13.83,-848.9e-3,54.09,57.7,9.291
25,12e-6,10e-15,14,32.8e9,47.32,13.83,-485.2e-3,54.05,57.7,9.291
25,12e-6,10e-15,16,32e9,45.66,13.82,-191.3e-3,54,57.68,9.289
25,12e-6,10e-15,18,31.6e9,44.69,13.81,56.91e-3,53.95,57.66,9.284
25,12e-6,10e-15,20,30.8e9,44.17,13.8,269.7e-3,53.9,57.62,9.278
25,12e-6,40e-15,15,30e9,49.33,13.85,-808.2e-3,53.9,57.65,9.283
25,12e-6,40e-15,10,31.6e9,56.2,13.87,-2.464,53.96,57.68,9.287
25,12e-6,40e-15,12,30.8e9,52.41,13.86,-1.679,53.93,57.67,9.286
25,12e-6,40e-15,14,30.4e9,50.08,13.85,-1.071,53.91,57.65,9.283
25,12e-6,40e-15,16,29.6e9,48.68,13.84,-586.4e-3,53.91,57.66,9.284
25,12e-6,40e-15,18,29.2e9,47.85,13.82,-184.1e-3,54.01,57.74,9.298
25,12e-6,40e-15,20,28.8e9,47.37,13.8,150.5e-3,54.17,57.87,9.32
25,12e-6,70e-15,15,28.4e9,51.23,13.87,-1.673,55.16,58.84,9.481
25,12e-6,70e-15,10,30e9,57.53,13.89,-3.823,54.08,57.81,9.309
25,12e-6,70e-15,12,29.6e9,54.03,13.89,-2.815,54.29,58,9.341
25,12e-6,70e-15,14,28.8e9,51.9,13.88,-2.019,54.84,58.54,9.43
25,12e-6,70e-15,16,28.4e9,50.61,13.87,-1.376,55.47,59.13,9.528
25,12e-6,70e-15,18,27.6e9,49.83,13.85,-838.5e-3,55.42,59,9.508
25,12e-6,70e-15,20,27.2e9,49.34,13.84,-385e-3,54.61,58.12,9.361
25,12e-6,100e-15,15,27.6e9,52.46,13.89,-2.661,56.13,59.15,9.531
25,12e-6,100e-15,10,29.2e9,58.43,13.9,-5.151,54.59,58.17,9.37
25,12e-6,100e-15,12,28.4e9,55.11,13.9,-3.996,55.07,58.48,9.421
25,12e-6,100e-15,14,28e9,53.08,13.89,-3.072,55.87,59.01,9.51
25,12e-6,100e-15,16,27.2e9,51.84,13.88,-2.306,56.26,59.16,9.534
25,12e-6,100e-15,18,26.8e9,51.06,13.87,-1.668,56.61,59.31,9.558
25,12e-6,100e-15,20,26e9,50.55,13.86,-1.121,56.9,59.52,9.593
25,14e-6,10e-15,15,29.6e9,51.07,13.68,359e-3,53.78,57.48,9.255
25,14e-6,10e-15,10,30.8e9,58.09,13.71,-583.8e-3,53.75,57.38,9.238
25,14e-6,10e-15,12,30.4e9,54.28,13.7,-137.4e-3,53.6,57.28,9.221
25,14e-6,10e-15,14,30e9,51.88,13.69,208.9e-3,53.66,57.36,9.234
25,14e-6,10e-15,16,29.2e9,50.39,13.67,493.7e-3,54.03,57.73,9.297
25,14e-6,10e-15,18,28.8e9,49.48,13.65,735.7e-3,54.54,58.22,9.378
25,14e-6,10e-15,20,28.4e9,48.95,13.62,944.7e-3,54.35,58,9.342
25,14e-6,10e-15,15,29.6e9,51.07,13.68,359e-3,53.78,57.48,9.255
25,14e-6,10e-15,10,30.8e9,58.09,13.71,-583.8e-3,53.75,57.38,9.238
25,14e-6,10e-15,12,30.4e9,54.28,13.7,-137.4e-3,53.6,57.28,9.221
25,14e-6,10e-15,14,30e9,51.88,13.69,208.9e-3,53.66,57.36,9.234
25,14e-6,10e-15,16,29.2e9,50.39,13.67,493.7e-3,54.03,57.73,9.297
25,14e-6,10e-15,18,28.8e9,49.48,13.65,735.7e-3,54.54,58.22,9.378
25,14e-6,10e-15,20,28.4e9,48.95,13.62,944.7e-3,54.35,58,9.342
25,14e-6,40e-15,15,27.6e9,54.04,13.75,-31.38e-3,53.61,57.31,9.226
25,14e-6,40e-15,10,28.8e9,60.29,13.79,-1.623,53.96,57.71,9.292
25,14e-6,40e-15,12,28.4e9,56.88,13.78,-870.1e-3,54.07,57.8,9.308
25,14e-6,40e-15,14,28e9,54.74,13.76,-287.5e-3,53.89,57.6,9.274
25,14e-6,40e-15,16,27.2e9,53.39,13.74,184.7e-3,53.22,56.91,9.159
25,14e-6,40e-15,18,26.8e9,52.53,13.72,576.5e-3,52.76,56.42,9.079
25,14e-6,40e-15,20,26.4e9,51.96,13.71,907.2e-3,53.25,56.89,9.156
25,14e-6,70e-15,15,26.4e9,55.82,13.8,-820.7e-3,54.93,57.99,9.34
25,14e-6,70e-15,10,27.6e9,61.68,13.83,-2.905,56.95,60.4,9.739
25,14e-6,70e-15,12,27.2e9,58.48,13.82,-1.932,57.01,60.14,9.697
25,14e-6,70e-15,14,26.4e9,56.47,13.81,-1.159,55.61,58.66,9.451
25,14e-6,70e-15,16,26e9,55.17,13.8,-527.4e-3,54.42,57.51,9.26
25,14e-6,70e-15,18,25.6e9,54.31,13.78,-2.241e-3,53.57,56.78,9.138
25,14e-6,70e-15,20,25.2e9,53.71,13.77,442.7e-3,53.1,56.45,9.084
25,14e-6,100e-15,15,25.2e9,56.91,13.83,-1.754,59.85,61.06,9.85
25,14e-6,100e-15,10,26.8e9,62.56,13.85,-4.186,55.68,58.56,9.434
25,14e-6,100e-15,12,26e9,59.48,13.84,-3.06,57.18,59.38,9.571
25,14e-6,100e-15,14,25.6e9,57.53,13.83,-2.153,60.2,61.22,9.875
25,14e-6,100e-15,16,25.2e9,56.25,13.82,-1.405,58.05,59.94,9.663
25,14e-6,100e-15,18,24.8e9,55.37,13.81,-777e-3,54.43,57.18,9.205
25,14e-6,100e-15,20,24e9,54.72,13.8,-235.3e-3,52.39,55.49,8.925
25,16e-6,10e-15,15,27.2e9,55.16,13.53,980.1e-3,58.44,61.64,9.946
25,16e-6,10e-15,10,28.4e9,61.73,13.57,81.46e-3,54.46,58.16,9.368
25,16e-6,10e-15,12,28e9,58.19,13.56,505e-3,54.61,58.27,9.386
25,16e-6,10e-15,14,27.6e9,55.93,13.54,837.3e-3,57.61,61.01,9.841
25,16e-6,10e-15,16,27.2e9,54.48,13.52,1.112,57.19,60.44,9.746
25,16e-6,10e-15,18,26.8e9,53.54,13.5,1.345,53.2,56.7,9.125
25,16e-6,10e-15,20,26e9,52.92,13.49,1.55,53.88,57.32,9.229
25,16e-6,10e-15,15,27.2e9,55.16,13.53,980.1e-3,58.44,61.64,9.946
25,16e-6,10e-15,10,28.4e9,61.73,13.57,81.46e-3,54.46,58.16,9.368
25,16e-6,10e-15,12,28e9,58.19,13.56,505e-3,54.61,58.27,9.386
25,16e-6,10e-15,14,27.6e9,55.93,13.54,837.3e-3,57.61,61.01,9.841
25,16e-6,10e-15,16,27.2e9,54.48,13.52,1.112,57.19,60.44,9.746
25,16e-6,10e-15,18,26.8e9,53.54,13.5,1.345,53.2,56.7,9.125
25,16e-6,10e-15,20,26e9,52.92,13.49,1.55,53.88,57.32,9.229
25,16e-6,40e-15,15,25.6e9,58.03,13.68,668.7e-3,53.76,57.39,9.24
25,16e-6,40e-15,10,26.8e9,64.02,13.72,-864e-3,52.99,56.72,9.128
25,16e-6,40e-15,12,26.4e9,60.79,13.7,-142.2e-3,52.27,55.97,9.004
25,16e-6,40e-15,14,26e9,58.71,13.69,419.9e-3,52.86,56.51,9.094
25,16e-6,40e-15,16,25.2e9,57.34,13.68,877.4e-3,54.95,58.54,9.43
25,16e-6,40e-15,18,24.8e9,56.39,13.67,1.258,56.87,60.39,9.737
25,16e-6,40e-15,20,24.4e9,55.7,13.66,1.582,55.66,59.24,9.547
25,16e-6,70e-15,15,24.4e9,59.65,13.75,-49.44e-3,52.58,55.91,8.994
25,16e-6,70e-15,10,25.6e9,65.36,13.78,-2.075,56.9,59.56,9.6
25,16e-6,70e-15,12,25.2e9,62.3,13.77,-1.132,55.04,57.91,9.326
25,16e-6,70e-15,14,24.8e9,60.3,13.76,-383.1e-3,53.09,56.32,9.063
25,16e-6,70e-15,16,24e9,58.94,13.75,229.8e-3,52.96,56.32,9.062
25,16e-6,70e-15,18,23.6e9,57.97,13.75,744.7e-3,57.78,60.75,9.797
25,16e-6,70e-15,20,23.2e9,57.22,13.75,1.182,60.25,63.07,10.18
25,16e-6,100e-15,15,23.6e9,60.59,13.79,-930.9e-3,51.69,54.73,8.798
25,16e-6,100e-15,10,24.8e9,66.17,13.8,-3.309,63.28,61.86,9.983
25,16e-6,100e-15,12,24.4e9,63.19,13.79,-2.212,57.78,59.22,9.544
25,16e-6,100e-15,14,24e9,61.23,13.79,-1.329,52.76,55.61,8.945
25,16e-6,100e-15,16,23.2e9,59.86,13.79,-593.5e-3,51.5,54.6,8.777
25,16e-6,100e-15,18,22.8e9,58.86,13.78,28.94e-3,56.69,58.95,9.498
25,16e-6,100e-15,20,22.4e9,58.05,13.79,561.7e-3,62.91,64.64,10.44
25,18e-6,10e-15,15,25.6e9,58.65,13.44,1.543,54.67,57.82,9.312
25,18e-6,10e-15,10,26.4e9,65.01,13.46,684.7e-3,57.14,60.4,9.74
25,18e-6,10e-15,12,26e9,61.63,13.45,1.088,53.46,56.86,9.152
25,18e-6,10e-15,14,25.6e9,59.41,13.44,1.407,53.35,56.69,9.123
25,18e-6,10e-15,16,25.2e9,57.93,13.44,1.673,56.65,59.47,9.585
25,18e-6,10e-15,18,24.8e9,56.9,13.44,1.901,59.05,61.33,9.895
25,18e-6,10e-15,20,24.4e9,56.15,13.45,2.102,56.55,59.54,9.597
25,18e-6,10e-15,15,25.6e9,58.65,13.44,1.543,54.67,57.82,9.312
25,18e-6,10e-15,10,26.4e9,65.01,13.46,684.7e-3,57.14,60.4,9.74
25,18e-6,10e-15,12,26e9,61.63,13.45,1.088,53.46,56.86,9.152
25,18e-6,10e-15,14,25.6e9,59.41,13.44,1.407,53.35,56.69,9.123
25,18e-6,10e-15,16,25.2e9,57.93,13.44,1.673,56.65,59.47,9.585
25,18e-6,10e-15,18,24.8e9,56.9,13.44,1.901,59.05,61.33,9.895
25,18e-6,10e-15,20,24.4e9,56.15,13.45,2.102,56.55,59.54,9.597
25,18e-6,40e-15,15,24e9,61.35,13.65,1.303,56.16,59.68,9.62
25,18e-6,40e-15,10,24.8e9,67.28,13.66,-172.1e-3,52.63,56.26,9.051
25,18e-6,40e-15,12,24.4e9,64.15,13.66,520.8e-3,55.34,58.83,9.478
25,18e-6,40e-15,14,24e9,62.05,13.65,1.064,57.09,60.51,9.759
25,18e-6,40e-15,16,23.6e9,60.59,13.65,1.506,54.82,58.42,9.41
25,18e-6,40e-15,18,23.2e9,59.52,13.66,1.875,55.34,58.93,9.495
25,18e-6,40e-15,20,23.2e9,58.66,13.67,2.192,55.88,59.43,9.579
25,18e-6,70e-15,15,22.8e9,62.8,13.74,646e-3,61.07,63.42,10.24
25,18e-6,70e-15,10,24e9,68.53,13.73,-1.322,52.87,56.12,9.028
25,18e-6,70e-15,12,23.6e9,65.53,13.73,-405.7e-3,53.87,57.16,9.201
25,18e-6,70e-15,14,23.2e9,63.48,13.73,324.3e-3,57.75,60.71,9.791
25,18e-6,70e-15,16,22.8e9,62.01,13.74,924.8e-3,60.7,63.21,10.21
25,18e-6,70e-15,18,22.4e9,60.88,13.75,1.43,54.62,58.1,9.357
25,18e-6,70e-15,20,22e9,59.93,13.76,1.862,53.6,57.24,9.215
25,18e-6,100e-15,15,22e9,63.59,13.77,-190.6e-3,62.57,63.53,10.26
25,18e-6,100e-15,10,23.2e9,69.26,13.77,-2.511,52.83,55.61,8.944
25,18e-6,100e-15,12,22.8e9,66.31,13.77,-1.439,52.98,55.86,8.985
25,18e-6,100e-15,14,22.4e9,64.27,13.77,-572.2e-3,58.03,59.78,9.637
25,18e-6,100e-15,16,22e9,62.77,13.78,149.8e-3,62.41,63.36,10.23
25,18e-6,100e-15,18,21.6e9,61.58,13.79,762.7e-3,52.9,56.04,9.015
25,18e-6,100e-15,20,21.2e9,60.55,13.81,1.29,54.99,57.98,9.338
25,20e-6,10e-15,15,24e9,61.55,13.41,2.057,57.8,59.85,9.648
25,20e-6,10e-15,10,24.8e9,67.88,13.39,1.233,54.41,57.65,9.284
25,20e-6,10e-15,12,24.4e9,64.57,13.4,1.619,58.05,60.22,9.71
25,20e-6,10e-15,14,24e9,62.33,13.41,1.926,59.48,60.92,9.827
25,20e-6,10e-15,16,23.6e9,60.75,13.43,2.182,55.69,58.4,9.407
25,20e-6,10e-15,18,23.2e9,59.58,13.45,2.403,55.33,58.27,9.387
25,20e-6,10e-15,20,23.2e9,58.65,13.48,2.599,59.09,61.43,9.911
25,20e-6,10e-15,15,24e9,61.55,13.41,2.057,57.8,59.85,9.648
25,20e-6,10e-15,10,24.8e9,67.88,13.39,1.233,54.41,57.65,9.284
25,20e-6,10e-15,12,24.4e9,64.57,13.4,1.619,58.05,60.22,9.71
25,20e-6,10e-15,14,24e9,62.33,13.41,1.926,59.48,60.92,9.827
25,20e-6,10e-15,16,23.6e9,60.75,13.43,2.182,55.69,58.4,9.407
25,20e-6,10e-15,18,23.2e9,59.58,13.45,2.403,55.33,58.27,9.387
25,20e-6,10e-15,20,23.2e9,58.65,13.48,2.599,59.09,61.43,9.911
25,20e-6,40e-15,15,22.4e9,64.03,13.65,1.875,55.29,58.89,9.488
25,20e-6,40e-15,10,23.2e9,70.07,13.63,453.5e-3,57.15,60.48,9.753
25,20e-6,40e-15,12,23.2e9,66.96,13.64,1.123,55.54,59.07,9.519
25,20e-6,40e-15,14,22.8e9,64.79,13.65,1.649,55.23,58.83,9.479
25,20e-6,40e-15,16,22.4e9,63.19,13.66,2.08,55.72,59.3,9.557
25,20e-6,40e-15,18,22e9,61.91,13.68,2.44,56,59.54,9.596
25,20e-6,40e-15,20,21.6e9,60.82,13.7,2.747,54.45,58.05,9.35
25,20e-6,70e-15,15,21.6e9,65.28,13.75,1.282,54.57,58.04,9.347
25,20e-6,70e-15,10,22.4e9,71.22,13.72,-631.4e-3,56.59,59.84,9.647
25,20e-6,70e-15,12,22e9,68.19,13.73,256.2e-3,60.16,62.88,10.15
25,20e-6,70e-15,14,21.6e9,66.04,13.74,962.6e-3,55.68,59.01,9.508
25,20e-6,70e-15,16,21.6e9,64.39,13.75,1.55,53.78,57.35,9.234
25,20e-6,70e-15,18,21.2e9,63.02,13.77,2.047,52.68,56.4,9.075
25,20e-6,70e-15,20,20.8e9,61.8,13.79,2.471,55.03,58.73,9.462
25,20e-6,100e-15,15,20.8e9,65.9,13.79,488.4e-3,56.31,58.77,9.469
25,20e-6,100e-15,10,21.6e9,71.85,13.75,-1.786,58.03,60.05,9.682
25,20e-6,100e-15,12,21.6e9,68.85,13.76,-737.5e-3,64.47,63.76,10.3
25,20e-6,100e-15,14,21.2e9,66.67,13.78,113e-3,54.82,57.66,9.284
25,20e-6,100e-15,16,20.8e9,64.95,13.8,822.8e-3,55.36,58.11,9.359
25,20e-6,100e-15,18,20.4e9,63.49,13.82,1.425,53.33,56.75,9.134
27,15e-6,10e-15,15,28.4e9,53.48,13.71,1.009,54.4,58.01,9.343
27,15e-6,10e-15,10,29.2e9,60.22,13.75,101.3e-3,54.04,57.7,9.292
27,15e-6,10e-15,12,28.8e9,56.57,13.74,530.4e-3,54.53,58.19,9.372
27,15e-6,10e-15,14,28.4e9,54.26,13.72,866.1e-3,54.74,58.37,9.403
27,15e-6,10e-15,16,28e9,52.79,13.7,1.142,57.41,60.77,9.802
27,15e-6,10e-15,18,27.6e9,51.87,13.67,1.377,57.84,60.9,9.823
27,15e-6,10e-15,20,27.2e9,51.28,13.65,1.58,53.4,56.83,9.146
27,15e-6,10e-15,15,28.4e9,53.48,13.71,1.009,54.4,58.01,9.343
27,15e-6,10e-15,10,29.2e9,60.22,13.75,101.3e-3,54.04,57.7,9.292
27,15e-6,10e-15,12,28.8e9,56.57,13.74,530.4e-3,54.53,58.19,9.372
27,15e-6,10e-15,14,28.4e9,54.26,13.72,866.1e-3,54.74,58.37,9.403
27,15e-6,10e-15,16,28e9,52.79,13.7,1.142,57.41,60.77,9.802
27,15e-6,10e-15,18,27.6e9,51.87,13.67,1.377,57.84,60.9,9.823
27,15e-6,10e-15,20,27.2e9,51.28,13.65,1.58,53.4,56.83,9.146
27,15e-6,40e-15,15,26.4e9,56.38,13.84,646.7e-3,52.47,56.14,9.031
27,15e-6,40e-15,10,27.6e9,62.48,13.88,-896.4e-3,53.71,57.45,9.25
27,15e-6,40e-15,12,27.2e9,59.18,13.86,-168.6e-3,52.88,56.6,9.108
27,15e-6,40e-15,14,26.8e9,57.07,13.85,396.9e-3,52.32,56,9.01
27,15e-6,40e-15,16,26e9,55.7,13.83,856.4e-3,52.94,56.58,9.106
27,15e-6,40e-15,18,25.6e9,54.79,13.82,1.238,54.88,58.45,9.416
27,15e-6,40e-15,20,25.2e9,54.15,13.8,1.562,56.82,60.3,9.723
27,15e-6,70e-15,15,25.2e9,58.06,13.9,-110.3e-3,54.45,57.37,9.237
27,15e-6,70e-15,10,26.4e9,63.84,13.93,-2.144,57.56,60.23,9.712
27,15e-6,70e-15,12,26e9,60.72,13.92,-1.196,56.76,59.23,9.546
27,15e-6,70e-15,14,25.2e9,58.71,13.91,-444.6e-3,55.29,58.03,9.346
27,15e-6,70e-15,16,24.8e9,57.37,13.9,172.3e-3,53.78,56.84,9.149
27,15e-6,70e-15,18,24.4e9,56.44,13.89,687.6e-3,52.95,56.22,9.045
27,15e-6,70e-15,20,24e9,55.75,13.88,1.125,56.28,59.29,9.556
27,15e-6,100e-15,15,24.4e9,59.05,13.93,-1.019,55.25,57.39,9.24
27,15e-6,100e-15,10,25.6e9,64.67,13.95,-3.398,57.2,59.06,9.517
27,15e-6,100e-15,12,25.2e9,61.65,13.94,-2.301,63.74,62.17,10.03
27,15e-6,100e-15,14,24.4e9,59.69,13.93,-1.413,57.73,59.16,9.533
27,15e-6,100e-15,16,24e9,58.35,13.93,-677e-3,53.61,56.1,9.025
27,15e-6,100e-15,18,23.6e9,57.4,13.92,-55.98e-3,51.86,54.73,8.798
27,15e-6,100e-15,20,23.2e9,56.66,13.92,476.1e-3,54.35,56.92,9.161
27,10e-6,10e-15,15,36e9,41.65,14.03,-758.4e-3,53.9,57.59,9.274
27,10e-6,10e-15,10,38e9,51,14,-1.789,53.88,57.48,9.254
27,10e-6,10e-15,12,37.2e9,46.04,14.02,-1.295,53.9,57.55,9.266
27,10e-6,10e-15,14,36.4e9,42.79,14.03,-919.3e-3,53.91,57.58,9.272
27,10e-6,10e-15,16,35.6e9,40.74,14.03,-617.5e-3,53.9,57.6,9.275
27,10e-6,10e-15,18,34.8e9,39.51,14.03,-366.4e-3,53.9,57.61,9.276
27,10e-6,10e-15,20,34e9,38.84,14.03,-152.4e-3,53.89,57.62,9.277
27,10e-6,10e-15,15,36e9,41.65,14.03,-758.4e-3,53.9,57.59,9.274
27,10e-6,10e-15,10,38e9,51,14,-1.789,53.88,57.48,9.254
27,10e-6,10e-15,12,37.2e9,46.04,14.02,-1.295,53.9,57.55,9.266
27,10e-6,10e-15,14,36.4e9,42.79,14.03,-919.3e-3,53.91,57.58,9.272
27,10e-6,10e-15,16,35.6e9,40.74,14.03,-617.5e-3,53.9,57.6,9.275
27,10e-6,10e-15,18,34.8e9,39.51,14.03,-366.4e-3,53.9,57.61,9.276
27,10e-6,10e-15,20,34e9,38.84,14.03,-152.4e-3,53.89,57.62,9.277
27,10e-6,40e-15,15,33.2e9,44.2,14.04,-1.347,53.95,57.67,9.286
27,10e-6,40e-15,10,34.8e9,52.34,14.04,-3.055,53.96,57.62,9.278
27,10e-6,40e-15,12,34e9,47.89,14.04,-2.241,53.95,57.64,9.282
27,10e-6,40e-15,14,33.6e9,45.12,14.04,-1.617,53.95,57.66,9.285
27,10e-6,40e-15,16,32.8e9,43.45,14.04,-1.12,53.95,57.67,9.287
27,10e-6,40e-15,18,32e9,42.51,14.04,-713.1e-3,53.95,57.68,9.288
27,10e-6,40e-15,20,31.2e9,42.02,14.03,-376.7e-3,53.94,57.69,9.289
27,10e-6,70e-15,15,31.2e9,46.06,14.05,-2.297,53.96,57.69,9.289
27,10e-6,70e-15,10,33.2e9,53.43,14.05,-4.495,53.96,57.64,9.282
27,10e-6,70e-15,12,32.4e9,49.33,14.06,-3.46,53.97,57.67,9.286
27,10e-6,70e-15,14,31.6e9,46.86,14.06,-2.65,53.97,57.68,9.289
27,10e-6,70e-15,16,30.8e9,45.4,14.05,-1.997,53.96,57.69,9.289
27,10e-6,70e-15,18,30.4e9,44.59,14.05,-1.456,53.94,57.68,9.288
27,10e-6,70e-15,20,29.6e9,44.17,14.04,-1.001,53.95,57.69,9.29
27,10e-6,100e-15,15,30e9,47.36,14.06,-3.347,54.3,57.93,9.329
27,10e-6,100e-15,10,32e9,54.23,14.06,-5.875,54.04,57.71,9.293
27,10e-6,100e-15,12,31.2e9,50.37,14.07,-4.698,54.13,57.79,9.307
27,10e-6,100e-15,14,30.4e9,48.08,14.06,-3.759,54.23,57.88,9.321
27,10e-6,100e-15,16,29.6e9,46.74,14.06,-2.992,54.4,58.02,9.344
27,10e-6,100e-15,18,29.2e9,45.99,14.06,-2.347,54.77,58.34,9.398
27,10e-6,100e-15,20,28.4e9,45.57,14.05,-1.802,55.3,58.79,9.472
27,12e-6,10e-15,15,32.4e9,46.67,13.93,5.489e-3,54,57.65,9.282
27,12e-6,10e-15,10,33.6e9,54.51,13.93,-974.1e-3,54.13,57.63,9.28
27,12e-6,10e-15,12,33.2e9,50.27,13.93,-507.3e-3,54.09,57.66,9.285
27,12e-6,10e-15,14,32.4e9,47.58,13.93,-148.9e-3,54.03,57.65,9.284
27,12e-6,10e-15,16,32e9,45.93,13.93,143.3e-3,53.97,57.63,9.28
27,12e-6,10e-15,18,31.2e9,44.96,13.92,388.1e-3,53.91,57.6,9.274
27,12e-6,10e-15,20,30.8e9,44.43,13.91,599.8e-3,53.86,57.57,9.269
27,12e-6,10e-15,15,32.4e9,46.67,13.93,5.489e-3,54,57.65,9.282
27,12e-6,10e-15,10,33.6e9,54.51,13.93,-974.1e-3,54.13,57.63,9.28
27,12e-6,10e-15,12,33.2e9,50.27,13.93,-507.3e-3,54.09,57.66,9.285
27,12e-6,10e-15,14,32.4e9,47.58,13.93,-148.9e-3,54.03,57.65,9.284
27,12e-6,10e-15,16,32e9,45.93,13.93,143.3e-3,53.97,57.63,9.28
27,12e-6,10e-15,18,31.2e9,44.96,13.92,388.1e-3,53.91,57.6,9.274
27,12e-6,10e-15,20,30.8e9,44.43,13.91,599.8e-3,53.86,57.57,9.269
27,12e-6,40e-15,15,30e9,49.59,13.96,-484.2e-3,53.91,57.65,9.283
27,12e-6,40e-15,10,31.2e9,56.44,13.98,-2.124,53.92,57.63,9.28
27,12e-6,40e-15,12,30.8e9,52.67,13.98,-1.345,53.9,57.63,9.279
27,12e-6,40e-15,14,30e9,50.35,13.97,-746.2e-3,53.9,57.63,9.28
27,12e-6,40e-15,16,29.6e9,48.94,13.96,-262.7e-3,53.95,57.69,9.289
27,12e-6,40e-15,18,29.2e9,48.1,13.94,132.1e-3,54.1,57.82,9.311
27,12e-6,40e-15,20,28.4e9,47.61,13.92,466.5e-3,54.19,57.88,9.321
27,12e-6,70e-15,15,28.4e9,51.48,13.99,-1.35,55.63,59.24,9.548
27,12e-6,70e-15,10,30e9,57.78,14.01,-3.482,54.15,57.85,9.316
27,12e-6,70e-15,12,29.2e9,54.29,14.01,-2.483,54.56,58.24,9.382
27,12e-6,70e-15,14,28.8e9,52.16,14,-1.696,55.33,58.97,9.503
27,12e-6,70e-15,16,28e9,50.86,13.99,-1.057,55.82,59.37,9.569
27,12e-6,70e-15,18,27.6e9,50.06,13.98,-524.7e-3,55.43,58.88,9.487
27,12e-6,70e-15,20,27.2e9,49.56,13.96,-78.73e-3,54.55,57.93,9.33
27,12e-6,100e-15,15,27.2e9,52.69,14.01,-2.342,55.7,58.62,9.443
27,12e-6,100e-15,10,28.8e9,58.67,14.02,-4.81,54.38,57.89,9.322
27,12e-6,100e-15,12,28.4e9,55.35,14.02,-3.663,54.9,58.18,9.371
27,12e-6,100e-15,14,27.6e9,53.33,14.01,-2.745,55.51,58.53,9.429
27,12e-6,100e-15,16,27.2e9,52.07,14.01,-1.99,55.86,58.69,9.456
27,12e-6,100e-15,18,26.4e9,51.28,13.99,-1.355,56.48,59.15,9.532
27,12e-6,100e-15,20,26e9,50.75,13.98,-811.2e-3,57,59.61,9.609
27,14e-6,10e-15,15,29.6e9,51.35,13.79,691.6e-3,54.07,57.74,9.297
27,14e-6,10e-15,10,30.8e9,58.35,13.81,-239.4e-3,53.68,57.29,9.223
27,14e-6,10e-15,12,30e9,54.56,13.81,201.7e-3,53.61,57.26,9.218
27,14e-6,10e-15,14,29.6e9,52.16,13.8,545.4e-3,53.85,57.51,9.26
27,14e-6,10e-15,16,29.2e9,50.67,13.78,826.4e-3,54.38,58.04,9.348
27,14e-6,10e-15,18,28.8e9,49.75,13.75,1.063,54.56,58.19,9.373
27,14e-6,10e-15,20,28e9,49.21,13.73,1.272,57.34,60.71,9.791
27,14e-6,10e-15,15,29.6e9,51.35,13.79,691.6e-3,54.07,57.74,9.297
27,14e-6,10e-15,10,30.8e9,58.35,13.81,-239.4e-3,53.68,57.29,9.223
27,14e-6,10e-15,12,30e9,54.56,13.81,201.7e-3,53.61,57.26,9.218
27,14e-6,10e-15,14,29.6e9,52.16,13.8,545.4e-3,53.85,57.51,9.26
27,14e-6,10e-15,16,29.2e9,50.67,13.78,826.4e-3,54.38,58.04,9.348
