Wpmos_in,L_Radius,Cin_OD,Wnmos_follower,center_freq,Output Impedance (Rout),Power(mW),Gain,spectrum_sfdr,spectrum_snr,spectrum_enob
30,10e-6,100e-15,18,28.8e9,46.3,14.19,-1.946,54.82,58.27,9.386
30,10e-6,100e-15,20,28.4e9,45.87,14.18,-1.404,55.24,58.58,9.438
30,12e-6,10e-15,15,32e9,47.03,14.05,431.7e-3,53.95,57.56,9.267
30,12e-6,10e-15,10,33.2e9,54.8,14.05,-534e-3,54.12,57.55,9.266
30,12e-6,10e-15,12,32.8e9,50.6,14.05,-74.32e-3,54.06,57.58,9.271
30,12e-6,10e-15,14,32.4e9,47.94,14.05,278.4e-3,53.99,57.57,9.269
30,12e-6,10e-15,16,31.6e9,46.3,14.05,567e-3,53.91,57.54,9.265
30,12e-6,10e-15,18,31.2e9,45.33,14.04,807.8e-3,53.86,57.51,9.26
30,12e-6,10e-15,20,30.4e9,44.79,14.03,1.017,53.86,57.53,9.263
30,12e-6,10e-15,15,32e9,47.03,14.05,431.7e-3,53.95,57.56,9.267
30,12e-6,10e-15,10,33.2e9,54.8,14.05,-534e-3,54.12,57.55,9.266
30,12e-6,10e-15,12,32.8e9,50.6,14.05,-74.32e-3,54.06,57.58,9.271
30,12e-6,10e-15,14,32.4e9,47.94,14.05,278.4e-3,53.99,57.57,9.269
30,12e-6,10e-15,16,31.6e9,46.3,14.05,567e-3,53.91,57.54,9.265
30,12e-6,10e-15,18,31.2e9,45.33,14.04,807.8e-3,53.86,57.51,9.26
30,12e-6,10e-15,20,30.4e9,44.79,14.03,1.017,53.86,57.53,9.263
30,12e-6,40e-15,15,29.6e9,49.96,14.1,-73.25e-3,53.97,57.7,9.291
30,12e-6,40e-15,10,31.2e9,56.76,14.11,-1.691,53.88,57.56,9.268
30,12e-6,40e-15,12,30.4e9,53.02,14.11,-923.3e-3,53.88,57.59,9.273
30,12e-6,40e-15,14,30e9,50.71,14.1,-330.7e-3,53.92,57.65,9.282
30,12e-6,40e-15,16,29.2e9,49.3,14.09,143e-3,54.04,57.77,9.302
30,12e-6,40e-15,18,28.8e9,48.45,14.08,536.5e-3,54.18,57.88,9.322
