index,SEQ1,SEQ1,SEQ1,SEQ1,SEQ1,SEQ1,SEQ1,SEQ1,SEQ1,SEQ1,SEQ1,SEQ1,SEQ1,SEQ2,SEQ2,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,Comparator,TH and CDAC,TH and CDAC,TH and CDAC,TH and CDAC,TH and CDAC,TH and CDAC,# of buffers,Duty Cycle of sampling
1.0,1.0014805793762207,2.095579147338867,95.81878662109375,1.017345905303955,2.1199049949645996,23.938995361328125,15.947723388671875,1.001732349395752,2.7821755409240723,1.0,1.0,2.001328468322754,10.0,1.00386381149292,3.167640447616577,3.167640447616577,13.998703002929688,1.0041675567626953,19.931629180908203,3.1269283294677734,31.67119598388672,1.9261393547058105,5.312970161437988,1.0185127258300781,2.0397415161132812,1.00386381149292,17.951187133789062,11.0,2.1199049949645996,11.0,2.001328468322754,11.0,4.8619741994373675e-15,8.770493507385254,19.764965057373047,2.4572017529966676e-14,10.203450202941895,0.43429118394851685
2.0,1.0001702308654785,23.998497009277344,95.99183654785156,9.990457534790039,2.8109307289123535,23.997604370117188,3.745049476623535,3.390995979309082,15.993078231811523,1.0,1.0,2.01702880859375,10.0,1.0005216598510742,2.812263250350952,2.812263250350952,13.569082260131836,1.0145206451416016,19.95232391357422,2.9201812744140625,32.0051155090332,2.0676655769348145,5.73685359954834,1.0003645420074463,2.0032691955566406,1.0005216598510742,10.527042388916016,11.0,2.8109307289123535,11.0,2.01702880859375,11.0,4.1674762158740424e-15,24.04653549194336,58.076271057128906,2.456788570324997e-14,9.994332313537598,0.1305781900882721
3.0,1.0268363952636719,2.0002098083496094,95.92053985595703,9.99212646484375,6.536106109619141,23.9879207611084,15.954719543457031,3.3737645149230957,15.997746467590332,1.0,1.0,2.0078392028808594,10.0,1.0702190399169922,3.6120615005493164,3.6120615005493164,13.750621795654297,1.0014572143554688,19.273788452148438,1.0042266845703125,28.13658332824707,2.326141834259033,5.6654052734375,1.0012073516845703,2.0653610229492188,1.0702190399169922,22.702247619628906,11.0,6.536106109619141,11.0,2.0078392028808594,11.0,4.522918769112733e-15,24.557374954223633,57.976783752441406,2.3776104715145067e-14,1.006703495979309,0.13926491141319275
4.0,11.991495132446289,23.998470306396484,95.99761962890625,9.99579906463623,5.87699031829834,23.955547332763672,15.999670028686523,3.815606117248535,15.999725341796875,1.0,1.0,15.758346557617188,10.0,1.0615525245666504,4.633513450622559,4.633513450622559,15.817451477050781,1.0067977905273438,16.023082733154297,1.0015583038330078,26.226926803588867,1.3399441242218018,6.058548450469971,1.0010945796966553,2.07904052734375,1.0615525245666504,23.630882263183594,11.0,5.87699031829834,11.0,15.758346557617188,11.0,1.741761472735543e-15,20.234821319580078,45.171142578125,1.977752305730527e-14,6.988411903381348,0.07995352149009705
5.0,1.0017361640930176,2.0598621368408203,95.91630554199219,9.981143951416016,6.30996036529541,23.891151428222656,15.99534797668457,3.3386006355285645,15.9941987991333,1.0,1.0,2.0184502601623535,10.0,1.0012569427490234,4.0268354415893555,4.0268354415893555,14.731449127197266,1.01165771484375,16.94495391845703,1.0735530853271484,27.876583099365234,2.210228681564331,5.853626251220703,1.0016915798187256,2.1190757751464844,1.0012569427490234,22.672550201416016,11.0,6.30996036529541,11.0,2.0184502601623535,11.0,4.444671135994801e-15,10.964561462402344,27.13121223449707,2.0940033425764434e-14,1.0088919401168823,0.30435633659362793
6.0,1.000802993774414,2.0590829849243164,95.81639099121094,1.0056633949279785,2.019040107727051,23.99605941772461,15.974919319152832,1.0317540168762207,2.7612533569335938,1.0,1.0,2.039900779724121,10.0,1.0192689895629883,3.2912254333496094,3.2912254333496094,14.516923904418945,1.0070991516113281,19.97270393371582,3.1291656494140625,31.545894622802734,1.4072356224060059,5.444872856140137,1.001441478729248,2.1007347106933594,1.0192689895629883,18.038427352905273,11.0,2.019040107727051,11.0,2.039900779724121,11.0,3.2651417580429297e-15,7.465667724609375,12.354362487792969,2.4626100583648863e-14,8.946551322937012,0.5602569580078125
7.0,1.0005369186401367,2.0021820068359375,95.81111907958984,9.982948303222656,5.33079195022583,23.966094970703125,15.995756149291992,2.503105640411377,2.9214296340942383,1.0,1.0,2.0023741722106934,10.0,1.0013322830200195,3.350473165512085,3.350473165512085,15.29780387878418,1.0104656219482422,19.70281982421875,1.0049571990966797,25.91680908203125,1.288215160369873,5.978865146636963,1.007054328918457,2.1405792236328125,1.0013322830200195,21.001968383789062,11.0,5.33079195022583,11.0,2.0023746490478516,11.0,4.281023523552323e-15,23.364744186401367,56.5262336730957,2.4286731751133744e-14,3.0504088401794434,0.13819563388824463
8.0,11.994929313659668,2.0361557006835938,95.95197296142578,9.99226188659668,15.987398147583008,23.96322250366211,15.99130916595459,15.989160537719727,3.835515022277832,1.0,1.0,2.1632232666015625,10.0,1.0105724334716797,2.797621965408325,2.797621726989746,15.69938850402832,1.5960693359375,19.73480224609375,1.0907955169677734,39.53117752075195,7.941007614135742,7.045122146606445,1.0020208358764648,2.229015350341797,1.0105724334716797,47.969627380371094,11.0,15.987398147583008,11.0,2.1632232666015625,11.0,4.921918721114554e-15,10.017107009887695,23.423524856567383,2.401540338120567e-14,1.0075315237045288,0.3715483546257019
9.0,1.0003342628479004,2.003602981567383,95.99299621582031,9.995417594909668,15.900115966796875,23.996803283691406,15.992585182189941,2.970067024230957,2.9155187606811523,1.0,1.0,2.0779600143432617,10.0,1.0018739700317383,1.6618175506591797,1.6618175506591797,7.0985918045043945,1.6542530059814453,16.299997329711914,1.0017547607421875,39.9940299987793,7.882683753967285,5.509527206420898,1.016451120376587,2.087848663330078,1.0018739700317383,21.932720184326172,11.0,15.900115966796875,11.0,2.07796049118042,11.0,4.118006103622602e-15,6.567591667175293,14.748977661132812,2.0021121262606134e-14,1.0068435668945312,0.5505625009536743
10.0,1.0022516250610352,2.043816566467285,95.79681396484375,9.98376750946045,15.942938804626465,23.95633888244629,15.996150970458984,3.0145487785339355,2.914614677429199,1.0,1.0,2.107983112335205,10.0,1.084615707397461,1.8082380294799805,1.8082380294799805,7.196442604064941,1.757772445678711,16.4218692779541,1.072519302368164,39.81848907470703,7.951962471008301,5.553153038024902,1.0003774166107178,2.0954132080078125,1.084615707397461,22.025249481201172,11.0,15.942938804626465,11.0,2.107983112335205,11.0,4.381563369776093e-15,7.721443176269531,18.536285400390625,2.017383960893019e-14,1.0068442821502686,0.4359245002269745
