Index,Total input cap,Input's bandwidth,SNR,Power consumption,Sampling frequency,ENOB,FOM
1.0,1.0391116135946565e-12,2196183040.0,76.53962707519531,0.006504603195935488,0.0,0.0,0.0
2.0,1.0388550913606465e-12,2195296256.0,76.523193359375,0.006531253457069397,0.0,0.0,0.0
3.0,1.038971317833537e-12,2208278528.0,76.61296081542969,0.006144353188574314,0.0,0.0,0.0
4.0,1.0388794859095274e-12,2194765824.0,76.52696228027344,0.006528516765683889,0.0,0.0,0.0
5.0,1.0398270786082797e-12,2193743872.0,76.52218627929688,0.006515702698379755,0.0,0.0,0.0
6.0,1.0387681383464131e-12,2197567488.0,76.4974594116211,0.006452146451920271,0.0,0.0,0.0
7.0,1.0389180835068679e-12,2208280576.0,76.56890106201172,0.00613638898357749,0.0,0.0,0.0
8.0,1.0390259616230302e-12,2196843520.0,76.50829315185547,0.00643512886017561,0.0,0.0,0.0
9.0,1.0395861688855534e-12,2193727488.0,76.52800750732422,0.006516101770102978,0.0,0.0,0.0
10.0,1.0389151561610022e-12,2208861184.0,76.56819915771484,0.006149730179458857,0.0,0.0,0.0
